Grau;Área;Emitir;Código;Descrição
Padrões de ancoragem;Falar e ouvir;Compreensão e colaboração;SL.PK-12.1;Prepare-se e participe de forma eficaz em diversas conversas e colaborações com parceiros variados, aproveitando as ideias dos outros e expressando as suas próprias de forma clara e persuasiva.
Padrões de ancoragem;Falar e ouvir;Compreensão e colaboração;SL.PK-12.2;Integrar e avaliar informações apresentadas em diversos meios e formatos, incluindo visuais, quantitativos e orais.
Padrões de ancoragem;Falar e ouvir;Compreensão e colaboração;SL.PK-12.3;Avalie o ponto de vista, o raciocínio e o uso de evidências e retórica de um orador.
Padrões de ancoragem;Falar e ouvir;Apresentação de conhecimento e ideias;SL.K-12.4;"Apresente as informações, as descobertas e as evidências de apoio de forma que os ouvintes consigam acompanhar a linha de raciocínio; a organização, o desenvolvimento, o vocabulário e o estilo sejam adequados ao público-alvo."
Padrões de ancoragem;Falar e ouvir;Apresentação de conhecimento e ideias;SL.PK-12.5;Utilize estrategicamente mídias digitais e apresentações visuais de dados para expressar informações e melhorar a compreensão das apresentações.
Padrões de ancoragem;Falar e ouvir;Apresentação de conhecimento e ideias;SL.PK-12.6;Adaptar a fala a uma variedade de contextos e tarefas comunicativas, demonstrando domínio do inglês formal quando indicado ou apropriado.
Padrões de ancoragem;Linguagem;Convenções padrão do inglês;L.PK-12.1;Demonstrar domínio das convenções gramaticais e do uso do inglês padrão ao escrever ou falar.
Padrões de ancoragem;Linguagem;Convenções padrão do inglês;L.PK-12.2;Demonstre domínio das normas da língua inglesa, incluindo o uso de maiúsculas, pontuação e ortografia, ao escrever.
Padrões de ancoragem;Linguagem;Habilidades linguísticas;L.PK-12.3;Aplicar o conhecimento da língua para entender como ela funciona em diferentes contextos, para tomar decisões eficazes em relação ao significado ou estilo e para compreender melhor ao ler ou ouvir.
Padrões de ancoragem;Linguagem;Aquisição e uso do vocabulário;L.PK-12.4;Determine ou esclareça o significado de palavras e frases desconhecidas ou com múltiplos significados, utilizando pistas contextuais, analisando partes significativas das palavras e consultando materiais de referência gerais e especializados, conforme apropriado.
Padrões de ancoragem;Linguagem;Aquisição e uso do vocabulário;L.PK-12.5;Demonstrar compreensão da linguagem figurada, das relações entre as palavras e das nuances de significado das palavras.
Padrões de ancoragem;Linguagem;Aquisição e uso do vocabulário;L.PK-12.6;"Adquirir e usar com precisão uma variedade de palavras e frases acadêmicas gerais e específicas da área, suficientes para ler, escrever, falar e ouvir em um nível preparatório para a universidade e profissional; demonstrar independência na aquisição de conhecimento de vocabulário."
PK;Ler literatura;Ideias e detalhes principais;RL.PK.1;Com sugestões e apoio, faça e responda perguntas sobre uma história ou poemas lidos em voz alta.
PK;Ler literatura;Ideias e detalhes principais;RL.PK.2;Com auxílio e orientação, reconte uma sequência de eventos de uma história lida em voz alta.
PK;Ler literatura;Ideias e detalhes principais;RL.PK.3;Com instruções e apoio, represente personagens e eventos de uma história ou poema lido em voz alta.
PK;Ler literatura;Artesanato e estrutura;RL.PK.4;Com dicas e apoio, faça e responda perguntas sobre palavras desconhecidas em uma história ou poema lido em voz alta. (Consulte os Padrões de Linguagem da Educação Infantil 4-6 para aplicar o conhecimento de vocabulário à leitura.)
PK;Ler literatura;Artesanato e estrutura;Pacote com 5 unidades;Demonstrar conhecimento da estrutura rítmica de um poema ou canção através de palmas ou movimentos.
PK;Ler literatura;Artesanato e estrutura;RL.PK.6;"Com orientação e apoio, ""leia"" as ilustrações de um livro infantil, descrevendo um personagem ou lugar retratado ou contando como uma sequência de eventos se desenrola."
PK;Ler literatura;Integração de conhecimento e ideias;RL.PK.7;Com dicas e apoio, faça previsões sobre o que acontecerá a seguir em um livro ilustrado após examinar e analisar as ilustrações.
PK;Ler literatura;Integração de conhecimento e ideias;RL.PK.9;Com orientação e apoio, estabeleça conexões entre uma história ou poema e suas próprias experiências.
PK;Ler literatura;Alcance de leitura e nível de complexidade do texto;Pacote com 10 unidades;Escute ativamente, tanto individualmente quanto em grupo, uma variedade de textos literários adequados à sua faixa etária, lidos em voz alta.
PK;Leitura de um texto informativo;Ideias e detalhes principais;RI.PK.1;Com instruções e apoio, faça e responda perguntas sobre um texto informativo lido em voz alta.
PK;Leitura de um texto informativo;Ideias e detalhes principais;RI.PK.2;Com orientação e apoio, recordar fatos importantes de um texto informativo após ouvi-lo ser lido em voz alta.
PK;Leitura de um texto informativo;Ideias e detalhes principais;RI.PK.3;Com orientação e apoio, dramatize ou represente conceitos aprendidos ao ouvir um texto informativo lido em voz alta (por exemplo, construa um arranha-céu com blocos após ouvir um livro sobre cidades ou, após uma leitura em voz alta sobre animais, mostre como a caminhada de um elefante difere do pulo de um coelho).
PK;Leitura de um texto informativo;Artesanato e estrutura;RI.PK.4;Com dicas e apoio, faça e responda perguntas sobre palavras desconhecidas em um texto informativo lido em voz alta. (Consulte os Padrões de Linguagem da Educação Infantil 4-6 para aplicar o conhecimento de vocabulário à leitura.)
PK;Leitura de um texto informativo;Artesanato e estrutura;RI.PK.6;"Com orientação e apoio, ""leia"" as ilustrações de um livro ilustrado informativo, descrevendo os fatos aprendidos a partir das imagens (por exemplo, como uma semente cresce e se transforma em uma planta)."
PK;Leitura de um texto informativo;Integração de conhecimento e ideias;RI.PK.7;Com orientação e apoio, descreva detalhes importantes de uma ilustração ou fotografia.
PK;Leitura de um texto informativo;Integração de conhecimento e ideias;RI.PK.9;Com orientação e apoio, identifique vários livros sobre um tema de sua preferência ou vários livros de um autor ou ilustrador predileto.
PK;Leitura de um texto informativo;Alcance de leitura e nível de complexidade do texto;RI.PK.10;Escute ativamente, tanto individualmente quanto em grupo, uma variedade de textos informativos adequados à sua faixa etária, lidos em voz alta.
PK;Habilidades fundamentais de leitura;Conceitos de impressão;RF.PK.1;Com orientação e apoio, demonstre compreensão da organização e das características básicas do texto impresso e escrito: livros, palavras, letras e o alfabeto.
PK;Habilidades fundamentais de leitura;Conceitos de impressão;RF.PK.1.a;Manuseie os livros com respeito e de forma adequada, segurando-os na vertical e virando as páginas uma de cada vez, da frente para trás.
PK;Habilidades fundamentais de leitura;Conceitos de impressão;RF.PK.1.d;Reconhecer e nomear algumas letras maiúsculas do alfabeto e as letras minúsculas do próprio nome.
PK;Habilidades fundamentais de leitura;Conceitos de impressão;RF.PK.2;Com orientação e apoio, demonstre compreensão de palavras faladas, sílabas e sons (fonemas).
PK;Habilidades fundamentais de leitura;Conceitos de impressão;RF.PK.2.a;Com orientação e apoio, reconheça e produza palavras que rimam (por exemplo, identifique palavras que rimam com /cat/, como /bat/ e /sat/).
PK;Habilidades fundamentais de leitura;Conceitos de impressão;RF.PK.2.b;Com orientação e apoio, divida as palavras em uma frase simples, batendo palmas e dizendo o número de palavras na frase.
PK;Habilidades fundamentais de leitura;Conceitos de impressão;RF.PK.2.c;Identificar o som inicial de uma palavra falada e, com orientação e apoio, gerar várias outras palavras que tenham o mesmo som inicial.
PK;Habilidades fundamentais de leitura;Fonética e reconhecimento de palavras;RF.PK.3;Demonstrar uma compreensão inicial de fonética e habilidades de análise de palavras.
PK;Habilidades fundamentais de leitura;Fonética e reconhecimento de palavras;RF.PK.3.a;"Associar um som inicial à imagem de um objeto que começa com esse som e, com orientação e apoio, à letra impressa correspondente (por exemplo, associar o som inicial /b/ à imagem de uma bola e, com apoio, a um ""B"" impresso ou escrito)."
PK;Habilidades fundamentais de leitura;Fonética e reconhecimento de palavras;RF.PK.3.c;Reconhecer o próprio nome e sinais e etiquetas comuns e familiares (por exemplo, PARE).
PK;Escrita;Tipos e finalidades dos textos;Pacote W.1;"Ditar palavras para expressar uma preferência ou opinião sobre um assunto (por exemplo, ""Eu gostaria de ir ao quartel dos bombeiros para ver o caminhão e conhecer os bombeiros"")."
PK;Escrita;Tipos e finalidades dos textos;Pacote W.2;Utilize uma combinação de ditado e desenho para fornecer informações sobre um tópico.
PK;Escrita;Tipos e finalidades dos textos;Pacote W.3;Use uma combinação de ditado e desenho para contar uma história.
PK;Escrita;Produção e distribuição de obras escritas;Pacote W.6;Reconhecer que as ferramentas digitais (por exemplo, computadores, telemóveis, câmaras) são utilizadas para comunicação e, com orientação e apoio, usá-las para transmitir mensagens em imagens e/ou palavras.
PK;Falar e ouvir;Compreensão e colaboração;SL.PK.1;Participe de conversas colaborativas com colegas diversos durante as rotinas diárias e brincadeiras.
PK;Falar e ouvir;Compreensão e colaboração;SL.PK.1.a;Observe e utilize formas adequadas de interação em grupo (por exemplo, revezar a fala, ouvir os colegas, esperar que alguém termine de falar, fazer perguntas e aguardar respostas, tomar a palavra de forma apropriada).
PK;Falar e ouvir;Compreensão e colaboração;SL.PK.1.b;Continue uma conversa através de múltiplas trocas de mensagens.
PK;Falar e ouvir;Compreensão e colaboração;SL.PK.2;Recordar informações por curtos períodos de tempo e recontar, dramatizar ou representar informações de um texto lido em voz alta, uma gravação ou um vídeo (por exemplo, assistir a um vídeo sobre pássaros e seus habitats e fazer desenhos ou construções de pássaros e seus ninhos).
PK;Falar e ouvir;Compreensão e colaboração;SL.PK.3;Faça perguntas e responda-as para pedir ajuda, obter informações ou esclarecer algo que não tenha sido compreendido.
PK;Falar e ouvir;Apresentação de conhecimento e ideias;SL.PK.4;"Descreva experiências pessoais; conte histórias."
PK;Falar e ouvir;Apresentação de conhecimento e ideias;SL.PK.5;Criar representações de experiências ou histórias (por exemplo, desenhos, construções com blocos ou outros materiais, modelos de argila) e explicá-las a outras pessoas.
PK;Falar e ouvir;Apresentação de conhecimento e ideias;SL.PK.6;Falar de forma audível e expressar pensamentos, sentimentos e ideias.
PK;Linguagem;Convenções padrão do inglês;L.PK.1;Demonstrar domínio das convenções gramaticais e do uso do inglês padrão ao falar.
PK;Linguagem;Convenções padrão do inglês;L.PK.1.a;"Demonstrar a capacidade de falar em frases completas e formular perguntas usando substantivos, verbos, palavras interrogativas e preposições de uso frequente; nomear e usar em contexto os números de 0 a 10 (consulte os padrões de matemática da pré-escola para contagem e cardinalidade)."
PK;Linguagem;Aquisição e uso do vocabulário;L.PK.4;Faça e responda perguntas sobre o significado de novas palavras e frases apresentadas em livros, atividades e jogos.
PK;Linguagem;Aquisição e uso do vocabulário;L.PK.4.a;Com orientação e apoio, gere palavras que tenham um significado semelhante (por exemplo, feliz/satisfeito, zangado/zangado).
PK;Linguagem;Aquisição e uso do vocabulário;Pacote L.5;Com a orientação e o apoio de adultos, explore as relações entre as palavras e as nuances de seus significados.
PK;Linguagem;Aquisição e uso do vocabulário;L.PK.5.a;Demonstrar compreensão de conceitos classificando objetos comuns em categorias (por exemplo, classificando objetos por cor, forma ou textura).
PK;Linguagem;Aquisição e uso do vocabulário;L.PK.5.b;Identificar conexões da vida real entre palavras e seu uso (por exemplo, apontar lugares coloridos na escola).
PK;Linguagem;Aquisição e uso do vocabulário;L.PK.5.c;Aplique o vocabulário aprendido nas atividades em sala de aula a exemplos da vida real (por exemplo, nomeando lugares na escola que são divertidos, tranquilos ou barulhentos).
PK;Linguagem;Aquisição e uso do vocabulário;L.PK.6;Use palavras e frases adquiridas por meio de conversas, ouvindo livros lidos em voz alta, atividades e jogos.
K;Ler literatura;Ideias e detalhes principais;RL.K.1;Com orientação e apoio, faça e responda perguntas sobre detalhes importantes em um texto.
K;Ler literatura;Ideias e detalhes principais;RL.K.2;Com orientação e apoio, reconte histórias familiares, incluindo detalhes importantes.
K;Ler literatura;Ideias e detalhes principais;RL.K.3;Com orientação e apoio, identifique personagens, cenários e eventos principais em uma história.
K;Ler literatura;Artesanato e estrutura;RL.K.4;Faça e responda perguntas sobre palavras desconhecidas em um texto. (Consulte os Padrões de Linguagem do Jardim de Infância 4-6 sobre como aplicar o conhecimento de vocabulário à leitura.)
K;Ler literatura;Artesanato e estrutura;RL.K.5;"Reconhecer tipos de texto comuns e características de sua estrutura (por exemplo, elementos narrativos em livros; rima, ritmo e repetição em poemas)."
K;Ler literatura;Artesanato e estrutura;RL.K.6;"Com orientação e apoio, explique que ler a capa ou a página de título é a maneira de descobrir quem criou um livro; mencione o autor e o ilustrador de um livro e defina o papel de cada um na narrativa."
K;Ler literatura;Integração de conhecimento e ideias;RL.K.7;Com orientação e apoio, descreva a relação entre as ilustrações e a história em que aparecem (por exemplo, que momento da história uma ilustração representa).
K;Ler literatura;Integração de conhecimento e ideias;RL.K.8;(Não aplicável.)
K;Ler literatura;Integração de conhecimento e ideias;RL.K.9;Com orientação e apoio, compare e contraste as aventuras e experiências de personagens de histórias conhecidas.
K;Ler literatura;Alcance de leitura e nível de complexidade do texto;RL.K.10;Participar ativamente de atividades de leitura em grupo com propósito e compreensão.
K;Leitura de um texto informativo;Ideias e detalhes principais;RI.K.1;Com orientação e apoio, faça e responda perguntas sobre detalhes importantes em um texto.
K;Leitura de um texto informativo;Ideias e detalhes principais;RI.K.2;Com orientação e apoio, identifique o tema principal e reconte os detalhes essenciais de um texto.
K;Leitura de um texto informativo;Ideias e detalhes principais;RI.K.3;Com instruções e apoio, descreva a conexão entre duas pessoas, eventos, ideias ou informações em um texto.
K;Leitura de um texto informativo;Artesanato e estrutura;RI.K.4;Com orientação e apoio, faça e responda perguntas sobre palavras desconhecidas em um texto. (Consulte os Padrões de Linguagem do Jardim de Infância 4-6 para aplicar o conhecimento de vocabulário à leitura.)
K;Leitura de um texto informativo;Artesanato e estrutura;RI.K.5;Identifique a capa, a contracapa e a página de título de um livro.
K;Leitura de um texto informativo;Artesanato e estrutura;RI.K.6;Indique o autor e o ilustrador de um texto e defina o papel de cada um na apresentação das ideias ou informações contidas no texto.
K;Leitura de um texto informativo;Integração de conhecimento e ideias;RI.K.7;Com orientação e apoio, descreva a relação entre as ilustrações e o texto em que aparecem (por exemplo, que pessoa, lugar, coisa ou ideia no texto uma ilustração representa).
K;Leitura de um texto informativo;Integração de conhecimento e ideias;RI.K.8;Com orientação e apoio, identifique as razões que um autor apresenta para sustentar os pontos de vista em um texto.
K;Leitura de um texto informativo;Integração de conhecimento e ideias;RI.K.9;Com orientação e apoio, identifique semelhanças e diferenças básicas entre dois textos sobre o mesmo tema (por exemplo, em ilustrações, descrições ou procedimentos).
K;Leitura de um texto informativo;Alcance de leitura e nível de complexidade do texto;RI.K.10;Participar ativamente de atividades de leitura em grupo com propósito e compreensão.
K;Habilidades fundamentais de leitura;Conceitos de impressão;RF.K.1;Demonstrar compreensão da organização e das características básicas da impressão.
K;Habilidades fundamentais de leitura;Conceitos de impressão;RF.K.1.a;Siga as palavras da esquerda para a direita, de cima para baixo e página por página.
K;Habilidades fundamentais de leitura;Conceitos de impressão;RF.K.1.b;Reconheça que as palavras faladas são representadas na linguagem escrita por sequências específicas de letras.
K;Habilidades fundamentais de leitura;Conceitos de impressão;RF.K.1.c;Entenda que, em textos impressos, as palavras são separadas por espaços.
K;Habilidades fundamentais de leitura;Conceitos de impressão;RF.K.1.d;Reconhecer e nomear todas as letras maiúsculas e minúsculas do alfabeto.
K;Habilidades fundamentais de leitura;Consciência fonológica;RF.K.2;Demonstrar compreensão de palavras faladas, sílabas e sons (fonemas).
K;Habilidades fundamentais de leitura;Consciência fonológica;RF.K.2.a;Reconhecer e produzir palavras que rimam.
K;Habilidades fundamentais de leitura;Consciência fonológica;RF.K.2.b;Contar, pronunciar, combinar e segmentar sílabas para formar palavras faladas.
K;Habilidades fundamentais de leitura;Consciência fonológica;RF.K.2.c;Misture e segmente os começos e as rimas de palavras monossilábicas faladas.
K;Habilidades fundamentais de leitura;Consciência fonológica;RF.K.2.d;Isole e pronuncie os sons vocálicos iniciais, mediais e finais (fonemas) em palavras de três fonemas (consoante-vogal-consoante ou CVC). (Isso não inclui CVCs terminadas em /l/, /r/ ou /x/.) [Nota: Palavras, sílabas ou fonemas escritos entre barras referem-se à sua pronúncia ou fonologia. Portanto, /CVC/ é uma palavra de três fonemas, independentemente do número de letras usadas para escrevê-la.]
K;Habilidades fundamentais de leitura;Consciência fonológica;RF.K.2.e;Adicionar ou substituir sons individuais (fonemas) em palavras simples de uma sílaba para formar novas palavras.
K;Habilidades fundamentais de leitura;Fonética e reconhecimento de palavras;RF.K.3;Conhecer e aplicar habilidades de fonética e análise de palavras adequadas ao nível escolar para decodificar palavras.
K;Habilidades fundamentais de leitura;Fonética e reconhecimento de palavras;RF.K.3.a;Demonstrar conhecimento básico da correspondência entre letras e sons, produzindo o som principal ou muitos dos sons mais frequentes para cada consoante.
K;Habilidades fundamentais de leitura;Fonética e reconhecimento de palavras;RF.K.3.b;Associe os sons longos e curtos com as grafias comuns (grafemas) das cinco vogais principais.
K;Habilidades fundamentais de leitura;Fonética e reconhecimento de palavras;RF.K.3.c;Leia à primeira vista palavras comuns de alta frequência (por exemplo, o, de, para, você, ela, meu, é, são, fazer, faz).
K;Habilidades fundamentais de leitura;Fonética e reconhecimento de palavras;RF.K.3d;Diferencie palavras com grafia semelhante identificando os sons das letras que diferem.
K;Habilidades fundamentais de leitura;Fluência;RF.K.4;Leitura de textos para leitores iniciantes com propósito e compreensão.
K;Padrões;Tipos e finalidades dos textos;Semana 1;Use uma combinação de desenho, ditado e escrita para compor textos de opinião nos quais você informa ao leitor o tema ou o nome do livro sobre o qual está escrevendo e expressa uma opinião ou preferência sobre o tema ou livro (por exemplo, Meu livro favorito é
K;Padrões;Tipos e finalidades dos textos;Semana 2;Utilize uma combinação de desenho, ditado e escrita para compor textos informativos/explicativos que nomeiem e forneçam algumas informações sobre um tópico.
K;Padrões;Tipos e finalidades dos textos;Semana 3;"Utilize uma combinação de desenho, ditado e escrita para narrar um único evento ou experiência, ou vários eventos ou experiências vagamente relacionados; organize a narração em sequência apropriada e apresente uma reação ao ocorrido."
K;Padrões;Tipos e finalidades dos textos;Semana 3.a;Para poemas, use palavras que rimam para criar estruturas (veja o Padrão 2a das Habilidades Essenciais de Leitura do Jardim de Infância).
K;Padrões;Produção e distribuição de obras escritas;Semana 5;Com a orientação e o apoio de adultos, responda às perguntas e sugestões de seus colegas e acrescente detalhes para aprimorar sua escrita, conforme necessário.
K;Padrões;Produção e distribuição de obras escritas;Semana 5.b;Demonstrar a capacidade de usar vocabulário apropriado para o jardim de infância (conforme descrito nos Padrões de Linguagem do Jardim de Infância 4-6).
K;Padrões;Produção e distribuição de obras escritas;Semana 6;Com a orientação e o apoio de adultos, explore uma variedade de ferramentas digitais para produzir e publicar textos, inclusive em colaboração com seus colegas.
K;Padrões;Pesquisa para construir e apresentar conhecimento;Semana 7;Participar em projetos colaborativos de pesquisa e escrita (por exemplo, explorar vários livros de um autor favorito e expressar opiniões sobre eles).
K;Padrões;Pesquisa para construir e apresentar conhecimento;Semana 8;Com a orientação e o apoio de adultos, recordar informações de experiências ou reunir informações de fontes fornecidas para responder a uma pergunta.
K;Padrões;Intervalo de escrita;Semana 10;Redigir ou ditar textos para diversas tarefas, finalidades e públicos.
K;Falar e ouvir;Compreensão e colaboração;SL.K.1;Participar de conversas colaborativas com diversos parceiros sobre temas e textos da educação infantil com colegas e adultos em grupos pequenos e grandes.
K;Falar e ouvir;Compreensão e colaboração;SL.K.1.a;Respeite as regras acordadas para as discussões (por exemplo, ouça os outros e respeite a vez de falar sobre os tópicos e textos em discussão).
K;Falar e ouvir;Compreensão e colaboração;SL.K.1.b;Continue uma conversa através de múltiplas trocas de mensagens.
K;Falar e ouvir;Compreensão e colaboração;SL.K.2;Confirme a compreensão de um texto lido em voz alta ou de informações apresentadas oralmente ou por outros meios, fazendo e respondendo a perguntas sobre detalhes importantes e solicitando esclarecimentos caso algo não seja compreendido.
K;Falar e ouvir;Compreensão e colaboração;SL.K.3;Faça perguntas e responda-as para pedir ajuda, obter informações ou esclarecer algo que não tenha sido compreendido.
K;Falar e ouvir;Apresentação de conhecimento e ideias;SL.K.4;Descreva pessoas, lugares, coisas e eventos familiares e, com incentivo e apoio, forneça detalhes adicionais.
K;Falar e ouvir;Apresentação de conhecimento e ideias;SL.K.5;Adicione desenhos ou outras representações visuais às descrições, conforme desejar, para fornecer detalhes adicionais.
K;Falar e ouvir;Apresentação de conhecimento e ideias;SL.K.6;Fale em tom audível e expresse seus pensamentos, sentimentos e ideias com clareza.
K;Linguagem;Convenções padrão do inglês;LK1;"Demonstrar domínio das convenções gramaticais e do uso do inglês padrão na escrita e na fala; reter e desenvolver ainda mais as habilidades linguísticas aprendidas anteriormente."
K;Linguagem;Convenções padrão do inglês;LK1.a;"Estrutura e significado das frases: Demonstrar a capacidade de produzir e expandir frases completas, usando substantivos, pronomes, adjetivos, verbos, palavras interrogativas e preposições frequentes; nomear e usar em contexto os números de 0 a 100 (ver material para o jardim de infância)."
K;Linguagem;Convenções padrão do inglês;LK1.b;Estrutura e significado das frases: faça perguntas que busquem informações adicionais, em vez de uma simples resposta de sim/não.
K;Linguagem;Convenções padrão do inglês;LK1.c;Uso da palavra: Forme substantivos plurais regulares oralmente adicionando /s/ ou /es/.
K;Linguagem;Convenções padrão do inglês;LK2;Demonstre domínio das normas da língua inglesa, incluindo o uso de maiúsculas, pontuação e ortografia, ao escrever.
K;Linguagem;Convenções padrão do inglês;LK2.a;Imprima letras maiúsculas e minúsculas.
K;Linguagem;Convenções padrão do inglês;LK2.b;"Escreva a primeira palavra da frase e o pronome ""eu"" com letra maiúscula."
K;Linguagem;Convenções padrão do inglês;LK2.c;Reconheça e nomeie os sinais de pontuação finais.
K;Linguagem;Convenções padrão do inglês;LK2.d;Escreva uma letra ou letras para a maioria dos sons consonantais e vogais curtas (fonemas).
K;Linguagem;Convenções padrão do inglês;LK2.e;Soletrar palavras simples foneticamente, com base no conhecimento das relações entre som e letra.
K;Linguagem;Convenções padrão do inglês;LK2.f;Escreva os números de 0 a 20 (consulte os padrões de matemática do jardim de infância para contagem e cardinalidade).
K;Linguagem;Aquisição e uso do vocabulário;LK4;Determinar ou esclarecer o significado de palavras e frases desconhecidas ou com múltiplos significados, com base na leitura e no conteúdo do jardim de infância.
K;Linguagem;Aquisição e uso do vocabulário;LK4.a;"Identificar novos significados para palavras conhecidas e aplicá-los corretamente (por exemplo, saber que ""pato"" é uma ave e aprender o verbo ""pato"")."
K;Linguagem;Aquisição e uso do vocabulário;LK5;Com a orientação e o apoio de adultos, explore as relações entre as palavras e as nuances de seus significados.
K;Linguagem;Aquisição e uso do vocabulário;LK5.a;Classifique objetos comuns em categorias (por exemplo, formas, alimentos) para ter uma ideia dos conceitos que as categorias representam.
K;Linguagem;Aquisição e uso do vocabulário;LK5.b;Demonstrar compreensão de verbos e adjetivos frequentes, relacionando-os aos seus opostos (antônimos).
K;Linguagem;Aquisição e uso do vocabulário;LK5.c;Identificar conexões da vida real entre palavras e seu uso (por exemplo, apontar lugares coloridos na escola).
K;Linguagem;Aquisição e uso do vocabulário;LK5.d;Distinguir nuances de significado entre verbos que descrevem a mesma ação geral (por exemplo, andar, marchar, pavonear-se, pular) representando seus significados.
K;Linguagem;Aquisição e uso do vocabulário;LK6;Utilizar palavras e frases adquiridas por meio de conversas, atividades do programa de jardim de infância, leitura e interpretação de textos.
1;Ler literatura;Ideias e detalhes principais;RL.1.1;Faça e responda perguntas sobre detalhes importantes em um texto.
1;Ler literatura;Ideias e detalhes principais;RL.1.2;Recontar histórias, incluindo detalhes importantes, e demonstrar compreensão da mensagem ou lição central.
1;Ler literatura;Ideias e detalhes principais;RL.1.3;Descreva os personagens, cenários e principais eventos de uma história, utilizando detalhes essenciais.
1;Ler literatura;Artesanato e estrutura;RL.1.4;Identificar palavras e frases em histórias ou poemas que evocam sentimentos ou apelam aos sentidos. (Consulte os Padrões de Linguagem da 1ª Série, 4-6, sobre a aplicação do vocabulário à leitura.)
1;Ler literatura;Artesanato e estrutura;RL.1.5;Identificar as características de tipos comuns de histórias, incluindo contos populares e contos de fadas.
1;Ler literatura;Artesanato e estrutura;RL.1.6;Identifique quem está narrando a história em diferentes pontos do texto.
