Grau;Área;Emitir;Código;Descrição
PK;Ciências da vida;Variação de características;Pré-escola.LS.3.2;Utilizam a observação para reconhecer diferenças e semelhanças entre si e seus amigos.
PK;Ciências físicas;Matéria e suas interações;Pré-escola.PS.1.1;Faça perguntas e investigue as diferenças entre líquidos e sólidos, desenvolvendo a consciência de que um líquido pode se tornar sólido e vice-versa.
PK;Ciências físicas;Matéria e suas interações;Pré-escola.PS.1.2;Investigar objetos naturais e artificiais para descrevê-los, compará-los, ordená-los e classificá-los de acordo com suas características físicas observáveis, seus usos e se algo é fabricado ou ocorre na natureza.
PK;Ciências físicas;Matéria e suas interações;Pré-escola.PS.1.3;Diferenciar entre as propriedades de um objeto e as do material de que ele é feito.
PK;Ciências físicas;Matéria e suas interações;Pré-escola.PS.1.4;Reconhecer, por meio de investigação, que objetos e materiais físicos podem sofrer alterações sob diferentes circunstâncias. Esclarecimento: As alterações incluem formação ou decomposição, mistura, dissolução e mudança de estado.
PK;Ciências físicas;Movimento e estabilidade: forças e interações;Pré-escola.PS.2.1;Utilizando evidências, analise ideias sobre o que faz algo se mover da maneira que se move e como alguns movimentos podem ser controlados.
PK;Ciências físicas;Movimento e estabilidade: forças e interações;Pré-escola.PS.2.2;Por meio da experiência, desenvolva uma consciência dos fatores que influenciam se as coisas ficam em pé ou caem. Esclarecimento: Alguns exemplos de fatores nas brincadeiras de construção das crianças incluem usar uma base larga ao construir, considerar a resistência dos materiais e distribuir o peso uniformemente ao construir com blocos.
PK;Ciências físicas;Ondas e suas aplicações em tecnologias de transferência de informação;Pré-escola.PS.4.1;Investigue os sons produzidos por diferentes objetos e materiais e analise as explicações para suas causas. Através da brincadeira e da investigação, identifique maneiras de manipular diferentes objetos e materiais que produzem som para alterar o volume e a altura do som.
PK;Ciências físicas;Ondas e suas aplicações em tecnologias de transferência de informação;Pré-escola.PS.4.2;Conecte experiências cotidianas e pesquisas para demonstrar as relações entre o tamanho e a forma das sombras, os objetos que criam a sombra e a fonte de luz.
K;Ciências da Terra e do Espaço;Sistemas Terrestres;K.ESS.2.1;Utilize e compartilhe observações quantitativas das condições climáticas locais para descrever padrões ao longo do tempo. Esclarecimentos: Exemplos de observações quantitativas podem incluir o número de dias ensolarados, ventosos e chuvosos em um mês, e a temperatura relativa. As observações quantitativas devem se limitar a números inteiros.
K;Ciências da Terra e do Espaço;Sistemas Terrestres;K.ESS.2.2;Elabore um argumento baseado em evidências que demonstre como plantas e animais (incluindo humanos) podem alterar o meio ambiente. Esclarecimento: Exemplos de plantas e animais que alteram o seu ambiente incluem um esquilo cavando buracos no solo e raízes de árvores rompendo o concreto.
K;Ciências da Terra e do Espaço;A Terra e a atividade humana;K.ESS.3.2;Obtenha e utilize informações de previsão do tempo para se preparar e responder a diferentes tipos de condições climáticas locais.
K;Ciências da Terra e do Espaço;A Terra e a atividade humana;K.ESS.3.3;Comunicar soluções para reduzir o consumo de recursos naturais. Esclarecimento: Exemplos de soluções podem incluir a reutilização de papel para reduzir o desmatamento e a reciclagem de latas e garrafas para diminuir o uso de plástico ou metal.
K;Ciências da vida;Das moléculas aos organismos: estruturas e processos;K.LS.1.1;Observe e explique que os animais (incluindo os humanos) e as plantas precisam de alimento, água e ar para sobreviver. Os animais comem plantas ou outros animais. As plantas produzem seu próprio alimento e precisam de luz para viver e crescer.
K;Ciências da vida;Das moléculas aos organismos: estruturas e processos;K.LS.1.2;Reconheça que todas as plantas e animais crescem e mudam com o tempo.
K;Ciências físicas;Matéria e suas interações;K.PS.1.1;Investigue e comunique a ideia de que diferentes tipos de materiais podem ser sólidos ou líquidos dependendo da temperatura. Esclarecimentos: Os materiais selecionados devem apresentar estados sólido e líquido dentro de uma faixa de temperatura adequada para alunos da educação infantil (por exemplo, 0–80 °F), como água, giz de cera ou cola em bastão. Espera-se apenas uma descrição qualitativa da temperatura, como quente, morno e frio.
K;Ciências físicas;Movimento e estabilidade: forças e interações;K.PS.2.1;Compare os efeitos de diferentes intensidades ou direções de empurrões e puxões no movimento de um objeto. Esclarecimentos: Exemplos de empurrões ou puxões incluem uma corda presa a um objeto sendo puxada, uma pessoa empurrando um objeto, uma pessoa parando uma bola rolando e dois objetos colidindo e se empurrando. As comparações devem ser baseadas em diferentes intensidades ou direções relativas, não em ambas simultaneamente. Empurrões ou puxões sem contato, como os produzidos por ímãs, não são esperados.
K;Ciências físicas;Energia;K.PS.3.1;"Faça observações para determinar que a luz solar aquece os materiais na superfície da Terra. Esclarecimentos: Exemplos de materiais na superfície da Terra podem incluir areia, solo, rochas e água; as medições de temperatura devem se limitar a medições relativas, como mais quente/mais frio."
K;Ciências físicas;Energia;K.PS.3.2;Utilize ferramentas e materiais para projetar e construir um modelo de uma estrutura que reduza o efeito de aquecimento da luz solar em uma área.
1;Ciências da Terra e do Espaço;O lugar da Terra no universo;1.ESS.1.1;Utilize observações do Sol, da Lua e das estrelas para descrever como cada um deles parece nascer em uma parte do céu, como parece se mover pelo céu e como parece se pôr.
1;Ciências da Terra e do Espaço;O lugar da Terra no universo;1.ESS.1.2;Analise os dados fornecidos para identificar relações entre padrões sazonais de mudança, incluindo variações relativas nos horários do nascer e pôr do sol, padrões sazonais de temperatura e precipitação ou queda de neve, e mudanças sazonais no ambiente. Observação: Exemplos de mudanças sazonais no ambiente incluem alterações na folhagem, migração de aves e diferenças na atividade de insetos.
1;Ciências da vida;Das moléculas aos organismos: estruturas e processos;1.LS.1.1;Use evidências para explicar que (a) diferentes animais usam suas partes do corpo e sentidos de maneiras diferentes para ver, ouvir, agarrar objetos, se proteger, se mover de um lugar para outro e procurar, encontrar e absorver alimento, água e ar, e (b) as plantas têm raízes, caules, folhas, flores e frutos que são usados para absorver água, ar e outros nutrientes, e para produzir alimento para a planta. Esclarecimento: Não se espera que as descrições incluam mecanismos como o processo de fotossíntese.
1;Ciências da vida;Das moléculas aos organismos: estruturas e processos;1.LS.1.2;Para coletar informações que permitam comparar como o comportamento de diferentes pais animais e seus filhotes contribui para a sobrevivência dos filhotes. Esclarecimento: Exemplos de comportamentos podem incluir sinais emitidos pelos filhotes (como choro, chilreio e outras vocalizações) e as respostas dos pais (como alimentar, confortar e proteger os filhotes).
1;Ciências da vida;Hereditariedade: herança e variação de características;1.LS.3.1;"Utilize informações obtidas por meio de observações (diretas e da mídia) para identificar semelhanças e diferenças entre plantas ou animais do mesmo tipo. Esclarecimentos: Exemplos de observações podem incluir o fato de que as folhas do mesmo tipo de planta têm a mesma forma, mas podem diferir em tamanho; hereditariedade, animais que sofrem metamorfose e híbridos não são esperados."
1;Ciências físicas;Ondas e suas aplicações em tecnologias de transferência de informação;1.PS.4.1;Demonstre que materiais vibrantes podem produzir som e que o som pode fazer com que os materiais vibrem. Esclarecimentos: Exemplos de materiais vibrantes que produzem som incluem diapasões, uma corda ou elástico esticado e a pele de um tambor. Exemplos de como o som pode fazer com que os materiais vibrem incluem segurar um pedaço de papel perto de um alto-falante que emite som e segurar um objeto perto de um diapasão vibrando.
1;Ciências físicas;Ondas e suas aplicações em tecnologias de transferência de informação;1.PS.4.3;Realize uma investigação para determinar o efeito da colocação de materiais que permitem a passagem de luz, permitem apenas a passagem parcial de luz, bloqueiam toda a luz ou redirecionam a luz interpondo-se no caminho de um feixe luminoso. Nota: Os efeitos podem incluir transmissão parcial ou total de luz, criação de sombra e redirecionamento da luz. Não são esperadas medições quantitativas.
1;Ciências físicas;Ondas e suas aplicações em tecnologias de transferência de informação;1.PS.4.4;"Utilize ferramentas e materiais para projetar e construir um dispositivo que use luz ou som para enviar um sinal à distância.* Esclarecimentos: Exemplos de dispositivos podem incluir uma fonte de luz para enviar sinais, ""telefones"" feitos com copos de papel e barbante, e um padrão rítmico de tambor. Não são esperados detalhes técnicos sobre o funcionamento dos dispositivos de comunicação."
1;Tecnologia/Engenharia;projeto de engenharia;1.ETS.1.1;Faça perguntas, observe e colete informações sobre uma situação que as pessoas desejam mudar e que pode ser resolvida desenvolvendo ou aprimorando um objeto ou ferramenta.*
1;Tecnologia/Engenharia;projeto de engenharia;1.ETS.1.2;Gere múltiplas soluções para um problema de projeto e faça um desenho (planta) para representar uma ou mais das soluções.*
2;Ciências da Terra e do Espaço;Sistemas da Terra;2.ESS.2.1;"Investigar e comparar a eficácia de múltiplas soluções concebidas para retardar ou impedir que o vento ou a água alterem a forma do terreno.* Esclarecimentos: As soluções a serem comparadas podem incluir diferentes projetos de diques e quebra-ventos para conter o vento e a água, e diferentes projetos para o uso de arbustos, grama e árvores para reter o solo; as soluções podem ser geradas ou fornecidas."
2;Ciências da Terra e do Espaço;Sistemas da Terra;2.ESS.2.2;"Mapear as formas e os tipos de relevo e corpos d'água em uma área. Esclarecimentos: Exemplos de tipos de relevo incluem colinas, vales, margens de rios e dunas; exemplos de corpos d'água incluem córregos, lagoas, baías e rios. Não se espera o uso de escalas quantitativas em modelos e mapeamento de curvas de nível."
2;Ciências da Terra e do Espaço;Sistemas da Terra;2.ESS.2.3;Utilize exemplos de fontes de informação para explicar que a água é encontrada no oceano, em rios e córregos, lagos e lagoas, e que pode estar no estado sólido ou líquido.
2;Ciências da Terra e do Espaço;Sistemas da Terra;2.ESS.2.4;Observe como o vento e a água corrente podem mover materiais terrestres de um lugar para outro e alterar a forma do relevo. Nota: Exemplos de relevos incluem colinas, vales, margens de rios e dunas.
2;Ciências da vida;Ecossistemas: interações, energia e dinâmica;2.LS.2.3;"Desenvolver e utilizar modelos para comparar como plantas e animais dependem do seu ambiente e de outros seres vivos para satisfazer as suas necessidades nos locais onde vivem. Esclarecimento: Os animais precisam de alimento, água, ar, abrigo e uma temperatura favorável; as plantas precisam de luz suficiente, água, minerais, uma temperatura favorável e animais ou outros mecanismos para dispersar as suas sementes."
2;Ciências da vida;Evolução biológica: unidade e diversidade;2.LS.4.1;Utilize textos, mídias ou ambientes locais para observar e comparar (a) os diferentes tipos de seres vivos em uma área e (b) as diferenças nos tipos de seres vivos que habitam diferentes tipos de áreas. Esclarecimentos: Exemplos de áreas para comparação podem incluir floresta temperada, deserto, floresta tropical, pradaria, região ártica e ambiente aquático. Não é necessário mencionar nomes específicos de animais e plantas em áreas específicas.
2;Ciências físicas;Matéria e suas interações;2.PS.1.1;Descreva e classifique diferentes tipos de materiais de acordo com suas propriedades observáveis: cor, flexibilidade, dureza, textura e absorção.
2;Ciências físicas;Matéria e suas interações;2.PS.1.2;"Teste diferentes materiais e analise os dados obtidos para determinar quais materiais possuem as propriedades mais adequadas para a finalidade pretendida. Exemplos de propriedades podem incluir cor, flexibilidade, dureza, textura e absorção; os dados devem se concentrar em observações qualitativas e relativas."
2;Ciências físicas;Matéria e suas interações;2.PS.1.3;"Analise diversas evidências para concluir que, quando um pedaço de material é cortado ou quebrado em pedaços, cada pedaço continua sendo feito do mesmo material e, por menor que seja, possui peso. Demonstre que as propriedades do material de um pequeno conjunto de pedaços não se alteram quando utilizados para construir objetos maiores. Observação: Os materiais devem ser substâncias puras ou misturas microscópicas que pareçam contíguas em escalas observáveis; exemplos de pedaços podem incluir blocos, tijolos de construção e outros objetos pequenos."
2;Ciências físicas;Matéria e suas interações;2.PS.1.4;"Apresente evidências que sustentem o argumento de que algumas mudanças em materiais causadas por aquecimento ou resfriamento são reversíveis, enquanto outras não. Esclarecimentos: Exemplos de mudanças reversíveis incluem materiais como água e manteiga em diferentes temperaturas; exemplos de mudanças irreversíveis incluem cozinhar um ovo, congelar uma folha de planta e queimar papel."
2;Ciências físicas;Energia;2.PS.3.1;Projete e realize um experimento para demonstrar os efeitos do atrito na temperatura e velocidade relativas de objetos que se esfregam uns contra os outros. Observações: Os exemplos podem incluir um objeto deslizando sobre superfícies ásperas ou lisas. As observações de temperatura e velocidade devem ser qualitativas.
2;Tecnologia/Engenharia;projeto de engenharia;2.ETS.1.3;"Analise os dados de teste de dois objetos projetados para resolver o mesmo problema de projeto, a fim de comparar os pontos fortes e fracos do desempenho de cada objeto.* Esclarecimentos: Os dados podem incluir observações e ser qualitativos ou quantitativos; exemplos podem incluir como diferentes objetos isolam a água fria ou como diferentes tipos de sacolas de compras se comportam."
3;Ciências da Terra e do Espaço;Sistemas da Terra;3.ESS.2.1;Utilize gráficos e tabelas com dados meteorológicos locais para descrever e prever o clima típico durante uma estação específica em uma determinada área. Observações: Exemplos de dados meteorológicos podem incluir temperatura, quantidade e tipo de precipitação (por exemplo, chuva, neve) e direção e velocidade do vento. As representações gráficas devem priorizar pictogramas e gráficos de barras.
3;Ciências da Terra e do Espaço;Sistemas da Terra;3.ESS.2.2;Obtenha e resuma informações climáticas de diferentes regiões do mundo para ilustrar que as condições climáticas típicas ao longo do ano variam de acordo com a região. Explicação: Exemplos de informações podem incluir dados climáticos (temperatura média, precipitação média, velocidade média do vento) ou descrições comparativas do clima sazonal para diferentes regiões. Limite de avaliação estadual: Não se espera que o aluno demonstre compreensão sobre mudanças climáticas na avaliação estadual.
3;Ciências da Terra e do Espaço;A Terra e a atividade humana;3.ESS.3.1;Avalie o mérito de uma solução de projeto que reduza os danos relacionados ao clima.* Esclarecimento: Exemplos de soluções de projeto para reduzir danos relacionados ao clima podem incluir uma barreira contra inundações, um telhado resistente ao vento e um para-raios.
3;Ciências da vida;Das moléculas aos organismos: estruturas e processos;3.LS.1.1;"Utilize representações gráficas simples para mostrar que diferentes tipos de organismos possuem ciclos de vida únicos e diversos. Descreva que todos os organismos têm em comum o nascimento, o crescimento, a reprodução e a morte, mas que existem várias maneiras pelas quais isso acontece. Esclarecimentos: Os exemplos podem incluir diferentes formas pelas quais plantas e animais começam (por exemplo, brotam de uma semente, eclodem de um ovo), crescem (por exemplo, aumentam de tamanho e peso, produzem uma nova parte), reproduzem-se (por exemplo, desenvolvem sementes, enraízam estolões, acasalam e põem ovos que eclodem) e morrem (por exemplo, tempo de vida); os ciclos de vida das plantas devem se concentrar nos das plantas com flores; as descrições da variação nos ciclos de vida dos organismos devem se concentrar em comparações dos estágios gerais de cada um, e não nos detalhes. Limitação da avaliação de status: Descrições detalhadas do ciclo de vida de qualquer organismo, as diferenças entre ""metamorfose completa"" e ""metamorfose incompleta"" e detalhes da reprodução humana não são esperados na avaliação de status."
3;Ciências da vida;Hereditariedade: herança e variação de características;3.LS.3.1;Apresente evidências, incluindo análise de dados, de que plantas e animais possuem características herdadas de seus pais e que essas características variam dentro de um grupo de organismos semelhantes. Esclarecimentos: Exemplos de características herdadas que variam incluem cor da pelagem, formato das folhas, comprimento das pernas e tamanho das flores. O foco deve ser em exemplos não humanos. Escopo da avaliação estadual: Mecanismos genéticos de hereditariedade e predição de características não são previstos na avaliação estadual.
3;Ciências da vida;Hereditariedade: herança e variação de características;3.LS.3.2;Diferencie características herdadas daquelas resultantes da interação direta com o ambiente. Dê exemplos de características de organismos vivos que são influenciadas tanto pela hereditariedade quanto pelo ambiente. Esclarecimentos: Exemplos de como o ambiente afeta uma característica incluem plantas normalmente altas que se tornam raquíticas devido à falta de água ou luz, um lagarto que perde a cauda por causa de um predador e um cachorro obeso que come demais e se exercita de menos. Concentre-se em exemplos não humanos.
3;Ciências da vida;Evolução biológica: unidade e diversidade;3.LS.4.1;Utilize fósseis para descrever os tipos de organismos e seus ambientes que existiram há muito tempo e compare-os com os organismos vivos e seus ambientes. Reconheça que a maioria das espécies de plantas e animais que outrora habitaram a Terra não são mais encontradas em nenhum outro lugar. Esclarecimento: As comparações devem se concentrar em características físicas ou observáveis. Escopo da avaliação de status: A identificação de fósseis específicos, plantas e animais atuais, processos dinâmicos ou genética não é esperada na avaliação de status.
3;Ciências da vida;Evolução biológica: unidade e diversidade;3.LS.4.2;Use evidências para construir uma explicação de como as variações nas características entre indivíduos da mesma espécie podem lhes conferir vantagens para a sobrevivência e reprodução. Esclarecimentos: Alguns exemplos incluem roseiras da mesma espécie, uma com espinhos ligeiramente mais longos que a outra, o que pode impedir a predação por cervos, e a variação de cor dentro de uma espécie, que pode dar ao organismo uma maior chance de sobrevivência e, portanto, uma maior chance de gerar descendentes. Exemplos de evidências podem incluir as necessidades e características dos organismos e habitats envolvidos.
3;Ciências da vida;Evolução biológica: unidade e diversidade;3.LS.4.3;Elabore um argumento com evidências de que, em um ambiente específico, alguns organismos conseguem sobreviver bem, outros em condições piores e outros ainda não conseguem sobreviver de forma alguma. Esclarecimento: Exemplos de evidências podem incluir as necessidades e características dos diferentes organismos (espécies) e habitats envolvidos.
3;Ciências da vida;Evolução biológica: unidade e diversidade;3.LS.4.4;Analise e interprete dados sobre mudanças de habitat e descreva como essas mudanças podem afetar a capacidade dos organismos que vivem nesse habitat de sobreviver e se reproduzir. Esclarecimentos: As mudanças devem incluir alterações na topografia, distribuição de água, clima e disponibilidade de recursos. As mudanças de habitat podem variar de uma estação a uma década. Embora se entenda que as mudanças ecológicas sejam complexas, o foco deve ser em uma única mudança de habitat.
3;Ciências da vida;Evolução biológica: unidade e diversidade;3.LS.4.5;Apresente evidências que sustentem a afirmação de que a sobrevivência de uma população depende da reprodução. Limitação da avaliação estadual: Não se esperam detalhes sobre reprodução na avaliação estadual.
3;Ciências físicas;Movimento e estabilidade: forças e interações;3.PS.2.1;"Apresente evidências para explicar o efeito de múltiplas forças, incluindo o atrito, sobre um objeto. Inclua forças equilibradas que não alteram o movimento do objeto e forças desequilibradas que o alteram. Esclarecimentos: As descrições da magnitude da força devem ser qualitativas e relativas; a força da gravidade é apropriada, mas apenas como uma força que puxa os objetos para baixo. Limitações da avaliação estadual: Não se espera a quantificação da magnitude da força na avaliação estadual; a avaliação estadual será limitada a uma variável por vez: número, magnitude ou direção das forças."
3;Ciências físicas;Movimento e estabilidade: forças e interações;3.PS.2.3;Realize uma investigação para determinar a natureza das forças entre dois ímãs com base em suas orientações e distâncias. Observação: O foco deve ser nas forças produzidas por objetos magnéticos que sejam fáceis de manipular.
3;Ciências físicas;Movimento e estabilidade: forças e interações;3.PS.2.4;Defina um problema de projeto simples que possa ser resolvido usando interações entre ímãs.* Declaração explicativa: Alguns exemplos de problemas podem incluir a construção de uma trava para manter uma porta fechada e a criação de um dispositivo para impedir que dois objetos em movimento se toquem.
3;Tecnologia/Engenharia;projeto de engenharia;3.ETS.1.1;Defina um problema de design simples que reflita uma necessidade ou um desejo. Inclua critérios de sucesso e limitações de materiais, tempo ou custo que uma solução potencial deve atender.*
3;Tecnologia/Engenharia;projeto de engenharia;3.ETS.1.2;Gere várias soluções possíveis para um determinado problema de projeto. Compare cada solução com base na probabilidade de atender aos critérios e restrições do problema.* Esclarecimento: Exemplos de problemas de projeto incluem adaptar um interruptor em um brinquedo para crianças com dificuldades de coordenação motora, projetar uma maneira de limpar ou coletar detritos ou lixo de um bueiro, ou criar equipamentos de playground móveis e seguros para um novo parque infantil.
3;Tecnologia/Engenharia;projeto de engenharia;3.ETS.1.4;Reúna informações utilizando diversos recursos informativos sobre possíveis soluções para um problema de design. Apresente diferentes representações de uma solução de design.* Esclarecimentos: Exemplos de recursos informativos podem incluir livros, vídeos e sites. Exemplos de representações podem incluir organizadores gráficos, esboços, modelos e protótipos. [3-5-ETS1-3 e 3-5-ETS1-5(MA) são encontrados no 4º ano]
4;Ciências da Terra e do Espaço;O lugar da Terra no universo;4.ESS.1.1;"Utilize evidências de uma determinada paisagem, incluindo formas de relevo simples e camadas rochosas, para fundamentar uma afirmação sobre o papel da erosão ou da deposição na formação da paisagem ao longo de extensos períodos de tempo. Declarações explicativas: Exemplos de evidências e afirmações podem incluir camadas rochosas com fósseis de conchas sobrepostas a camadas rochosas com fósseis de plantas e sem conchas, indicando uma mudança da deposição em terra para a deposição na água ao longo do tempo; e um cânion com camadas rochosas nas paredes e um rio no fundo, indicando que um rio erodiu a rocha ao longo do tempo. Exemplos de formas de relevo simples podem incluir vales, colinas, montanhas, planícies e cânions. O foco deve ser no tempo relativo. Limitação da avaliação estadual: Não se espera que a avaliação estadual inclua detalhes específicos sobre os mecanismos de formação de rochas ou sobre formações e camadas rochosas específicas."
4;Ciências da Terra e do Espaço;Sistemas da Terra;4.ESS.2.1;Realizar observações e coletar dados para demonstrar que rochas, solos e sedimentos são fragmentados por intemperismo mecânico e movimentados por erosão. Esclarecimentos: Os processos de intemperismo mecânico podem incluir o congelamento e descongelamento do solo, a abrasão e a erosão por raízes de árvores. A erosão pode incluir a movimentação pelo vento, correntes de água e gelo em movimento. Escopo da avaliação estadual: Processos químicos não estão previstos na avaliação estadual.
4;Ciências da Terra e do Espaço;Sistemas da Terra;4.ESS.2.2;Analisar e interpretar mapas das cadeias montanhosas da Terra, fossas oceânicas profundas, vulcões e epicentros de terremotos para descrever padrões dessas características e suas localizações em relação aos limites entre continentes e oceanos.
4;Ciências da Terra e do Espaço;A Terra e a atividade humana;4.ESS.3.1;Aprenda que a energia e os combustíveis que nós, humanos, usamos provêm de recursos naturais e que algumas fontes de energia e combustíveis são renováveis, enquanto outras não. Esclarecimentos: Exemplos de recursos energéticos renováveis incluem energia eólica, água de barragens, marés e luz solar. Recursos energéticos não renováveis incluem combustíveis fósseis e materiais nucleares.
4;Ciências da Terra e do Espaço;A Terra e a atividade humana;4.ESS.3.2;Avalie diferentes soluções para reduzir os impactos de um evento natural, como um terremoto, uma tempestade de neve ou uma inundação, sobre os seres humanos.* Esclarecimento: Exemplos de soluções podem incluir um edifício resistente a terremotos ou uma zona úmida construída para mitigar inundações.
4;Ciências da vida;Das moléculas aos organismos: estruturas e processos;4.LS.1.1;Argumente que animais e plantas possuem estruturas internas e externas que sustentam sua sobrevivência, crescimento, comportamento e reprodução. Esclarecimentos: As estruturas animais podem incluir pernas, asas, barbatanas, penas, trombas, garras, chifres, antenas, olhos, orelhas, nariz, coração, estômago, pulmões, cérebro e pele. As estruturas vegetais podem incluir folhas, raízes, caules, cascas, ramos, flores, frutos e sementes. Limitação da Avaliação Estadual: A avaliação estadual será limitada a estruturas macroscópicas.
4;Ciências físicas;Energia;4.PS.3.1;Utilize evidências para construir uma explicação que relacione a velocidade de um objeto à sua energia. Limitações da avaliação estadual: A avaliação estadual se limitará à análise da energia cinética. Massa, medidas quantitativas de mudanças na velocidade de um objeto ou qualquer definição precisa ou quantitativa de energia não serão consideradas na avaliação estadual.
4;Ciências físicas;Energia;4.PS.3.2;Faça observações para demonstrar que a energia pode ser transferida de um lugar para outro por meio de som, luz, calor e correntes elétricas. Esclarecimento: A transferência de energia pode ser demonstrada por vibrações sentidas a uma curta distância de uma fonte, um brinquedo solar que se move quando exposto à luz solar direta, o aquecimento de um objeto metálico em uma extremidade e a observação de como a outra extremidade aquece, e um fio que transporta energia elétrica de uma bateria para alimentar uma lâmpada. Limitação da Avaliação Estadual: Medições quantitativas de energia não são esperadas na avaliação estadual.
4;Ciências físicas;Energia;4.PS.3.3;Formular perguntas e prever resultados referentes às mudanças de energia que ocorrem quando objetos colidem. Esclarecimento: As mudanças de energia podem incluir alterações no movimento e na posição do objeto, bem como a geração de calor ou som. Escopo da avaliação estadual: Não se espera que a avaliação estadual inclua análise de força ou medições quantitativas de energia.
4;Ciências físicas;Energia;4.PS.3.4;Aplique os princípios científicos de energia e movimento para testar e aprimorar um dispositivo que converte energia cinética em energia elétrica ou usa energia armazenada para causar movimento ou produzir luz ou som.* Esclarecimento: As fontes de energia armazenada podem incluir água em um balde, um peso suspenso a uma certa altura e uma bateria.
4;Ciências físicas;Ondas e suas aplicações em tecnologias de transferência de informação;4.PS.4.1;Desenvolva um modelo de uma onda mecânica simples (incluindo som) para explicar que as ondas (a) são padrões regulares de movimento ao longo dos quais a energia se propaga e (b) podem causar o movimento de objetos. Esclarecimento: Exemplos de modelos podem incluir diagramas, analogias e modelos físicos. Limitação da Avaliação Estadual: Não são previstos efeitos de interferência, ondas eletromagnéticas ou ondas não periódicas na avaliação estadual.
