Grado;Área;Tema;Código;Descripción
K;Ciencias de la Tierra y del Espacio;Sistemas de la Tierra;K.ESS.2.2;Construya un argumento basado en evidencia que muestre cómo las plantas y los animales (incluidos los humanos) pueden alterar el medio ambiente. Aclaración: Ejemplos de plantas y animales que alteran su entorno incluyen una ardilla cavando hoyos en el suelo y raíces de árboles que rompen el hormigón.
K;Ciencias de la Tierra y del Espacio;La Tierra y la actividad humana;K.ESS.3.2;Obtener y utilizar información sobre el pronóstico del tiempo para prepararse y responder a diferentes tipos de clima local.
K;Ciencias de la Tierra y del Espacio;La Tierra y la actividad humana;K.ESS.3.3;Comunicar soluciones para reducir el consumo de recursos naturales. Aclaración: Ejemplos de soluciones podrían incluir la reutilización de papel para reducir la tala de árboles y el reciclaje de latas y botellas para reducir el uso de plástico o metal.
K;Ciencias de la vida;De las moléculas a los organismos: estructuras y procesos;K.LS.1.1;Observar y comunicar que los animales (incluidos los humanos) y las plantas necesitan alimento, agua y aire para sobrevivir. Los animales se alimentan de las plantas o de otros animales. Las plantas producen su propio alimento y necesitan luz para vivir y crecer.
K;Ciencias de la vida;De las moléculas a los organismos: estructuras y procesos;K.LS.1.2;Reconocer que todas las plantas y animales crecen y cambian con el tiempo.
K;Ciencias Físicas;La materia y sus interacciones;K.PS.1.1;Investigar y comunicar la idea de que diferentes tipos de materiales pueden ser sólidos o líquidos según la temperatura. Aclaraciones: Los materiales seleccionados deben presentar estados sólido y líquido en un rango de temperatura razonable para estudiantes de kínder (p. ej., 0?80 °F), como agua, crayones o barras de pegamento. Solo se espera una descripción cualitativa de la temperatura, como caliente, templado y frío.
K;Ciencias Físicas;Movimiento y estabilidad: fuerzas e interacciones;K.PS.2.1;Compare los efectos de diferentes intensidades o direcciones de empujes y tirones en el movimiento de un objeto. Aclaraciones: Ejemplos de empujones o tirones incluyen una cuerda atada a un objeto que se tira, una persona que empuja un objeto, una persona que detiene una pelota rodante y dos objetos que chocan y se empujan entre sí. Las comparaciones deben basarse en diferentes intensidades relativas o direcciones, no en ambas a la vez. No se esperan empujones ni tirones sin contacto, como los producidos por imanes.
K;Ciencias Físicas;Energía;K.PS.3.1;"Realizar observaciones para determinar que la luz solar calienta los materiales en la superficie de la Tierra. Aclaraciones: Los ejemplos de materiales en la superficie de la Tierra podrían incluir arena, tierra, rocas y agua; las medidas de temperatura deben limitarse a medidas relativas, como más cálido/más frío."
K;Ciencias Físicas;Energía;K.PS.3.2;Utilice herramientas y materiales para diseñar y construir un modelo de una estructura que reducirá el efecto de calentamiento de la luz solar en un área.
1;Ciencias de la Tierra y del Espacio;El lugar de la Tierra en el universo;1.ESS.1.1;Utilice observaciones del Sol, la Luna y las estrellas para describir que cada uno parece salir en una parte del cielo, parece moverse a través del cielo y parece ponerse.
1;Ciencias de la Tierra y del Espacio;El lugar de la Tierra en el universo;1.ESS.1.2;Analice los datos proporcionados para identificar relaciones entre los patrones estacionales de cambio, incluyendo las variaciones relativas de la hora del amanecer y el atardecer, los patrones estacionales de temperatura y precipitación o nevada, y los cambios estacionales en el medio ambiente. Aclaración: Ejemplos de cambios estacionales en el medio ambiente incluyen cambios en el follaje, migración de aves y diferencias en la actividad de los insectos.
1;Ciencias de la vida;De las moléculas a los organismos: estructuras y procesos;1.LS.1.1;Utilice evidencia para explicar que (a) los diferentes animales usan las partes de su cuerpo y sus sentidos de diferentes maneras para ver, oír, agarrar objetos, protegerse, moverse de un lugar a otro y buscar, encontrar y absorber alimento, agua y aire, y (b) las plantas tienen raíces, tallos, hojas, flores y frutos que se utilizan para absorber agua, aire y otros nutrientes, y producir alimento para la planta. Declaración aclaratoria: No se espera que las descripciones incluyan mecanismos como el proceso de fotosíntesis.
1;Ciencias de la vida;De las moléculas a los organismos: estructuras y procesos;1.LS.1.2;Obtener información para comparar cómo el comportamiento de diferentes progenitores animales y sus crías contribuye a la supervivencia de estas. Aclaración: Ejemplos de comportamientos podrían incluir las señales que emiten las crías (como llanto, piar y otras vocalizaciones) y las respuestas de los padres (como alimentar, consolar y proteger a las crías).
1;Ciencias de la vida;Herencia: herencia y variación de rasgos;1.LS.3.1;"Utilizar información obtenida de observaciones (de primera mano y de los medios de comunicación) para identificar similitudes y diferencias entre plantas o animales del mismo tipo. Aclaraciones: Ejemplos de observaciones podrían incluir que las hojas de un mismo tipo de planta tienen la misma forma, pero pueden diferir en tamaño; no se espera la herencia, ni animales que experimentan metamorfosis ni híbridos."
1;Ciencias Físicas;Ondas y sus aplicaciones en tecnologías de transferencia de información;1.PS.4.1;Demuestre que los materiales vibrantes pueden producir sonido y que el sonido puede hacer vibrar los materiales. Aclaraciones: Ejemplos de materiales vibrantes que producen sonido incluyen diapasones, una cuerda tensa o una goma elástica, y un parche de tambor. Ejemplos de cómo el sonido puede hacer vibrar los materiales incluyen sostener un trozo de papel cerca de un altavoz que produce sonido y sostener un objeto cerca de un diapasón vibrante.
1;Ciencias Físicas;Ondas y sus aplicaciones en tecnologías de transferencia de información;1.PS.4.3;Realice una investigación para determinar el efecto de colocar materiales que permitan el paso de la luz, permitan solo una parte de ella, bloqueen toda la luz o redirijan la luz al interponerse en la trayectoria de un haz de luz. Aclaraciones: Los efectos pueden incluir el paso parcial o total de la luz, la creación de una sombra y la redirección de la luz. No se prevén mediciones cuantitativas.
1;Ciencias Físicas;Ondas y sus aplicaciones en tecnologías de transferencia de información;1.PS.4.4;"Utilice herramientas y materiales para diseñar y construir un dispositivo que use luz o sonido para enviar una señal a distancia.* Aclaraciones: Los ejemplos de dispositivos podrían incluir una fuente de luz para enviar señales, ""teléfonos"" hechos con vasos de papel y cuerdas, y un patrón de ritmos de tambores. No se esperan detalles tecnológicos sobre cómo funcionan los dispositivos de comunicación."
1;Tecnología/Ingeniería;Diseño de ingeniería;1.ETS.1.1;Hacer preguntas, realizar observaciones y recopilar información sobre una situación que las personas desean cambiar y que se puede resolver desarrollando o mejorando un objeto o herramienta.*
1;Tecnología/Ingeniería;Diseño de ingeniería;1.ETS.1.2;Generar múltiples soluciones a un problema de diseño y hacer un dibujo (plan) para representar una o más de las soluciones.*
2;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;2.ESS.2.1;"Investigar y comparar la eficacia de múltiples soluciones diseñadas para retardar o evitar que el viento o el agua cambien la forma de la tierra.* Aclaraciones: Las soluciones a comparar podrían incluir diferentes diseños de diques y cortavientos para contener el viento y el agua, y diferentes diseños para usar arbustos, césped y árboles para contener la tierra; se pueden generar o proporcionar soluciones."
2;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;2.ESS.2.2;"Mapee las formas y tipos de accidentes geográficos y masas de agua en un área. Aclaraciones: Ejemplos de tipos de accidentes geográficos incluyen colinas, valles, riberas y dunas; ejemplos de masas de agua incluyen arroyos, estanques, bahías y ríos. No se espera escalamiento cuantitativo en modelos ni mapeo de curvas de nivel."
2;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;2.ESS.2.3;Utilice ejemplos obtenidos de fuentes informativas para explicar que el agua se encuentra en el océano, ríos y arroyos, lagos y estanques, y puede ser sólida o líquida.
2;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;2.ESS.2.4;Observe cómo el viento y el agua fluyen pueden desplazar los materiales terrestres de un lugar a otro y modificar la forma de un accidente geográfico. Aclaración: Ejemplos de accidentes geográficos incluyen colinas, valles, riberas y dunas.
2;Ciencias de la vida;Ecosistemas: interacciones, energía y dinámica;2.LS.2.3;"Desarrollar y utilizar modelos para comparar cómo las plantas y los animales dependen de su entorno y de otros seres vivos para satisfacer sus necesidades en los lugares donde viven. Declaración aclaratoria: Los animales necesitan alimento, agua, aire, refugio y temperatura favorable; las plantas necesitan suficiente luz, agua, minerales, temperatura favorable y animales u otros mecanismos para dispersar las semillas."
2;Ciencias de la vida;Evolución biológica: unidad y diversidad;2.LS.4.1;Utilice textos, medios de comunicación o entornos locales para observar y comparar (a) los diferentes tipos de seres vivos en una zona y (b) las diferencias en los tipos de seres vivos que viven en diferentes tipos de zonas. Aclaraciones: Ejemplos de zonas para comparar pueden incluir bosque templado, desierto, selva tropical, pradera, ártico y acuático. No se esperan nombres específicos de animales y plantas en zonas específicas.
2;Ciencias Físicas;La materia y sus interacciones;2.PS.1.1;Describir y clasificar diferentes tipos de materiales según sus propiedades observables: color, flexibilidad, dureza, textura y absorbencia.
2;Ciencias Físicas;La materia y sus interacciones;2.PS.1.2;"Pruebe diferentes materiales y analice los datos obtenidos para determinar qué materiales tienen las propiedades más adecuadas para el propósito previsto. Declaraciones aclaratorias: Los ejemplos de propiedades podrían incluir color, flexibilidad, dureza, textura y absorbencia; los datos deben centrarse en observaciones cualitativas y relativas."
2;Ciencias Físicas;La materia y sus interacciones;2.PS.1.3;"Analice diversas evidencias para concluir que, cuando un trozo de material se corta o se rompe en pedazos, cada uno sigue siendo del mismo material y, por pequeño que sea, tiene peso. Demuestre que las propiedades materiales de un conjunto pequeño de piezas no cambian cuando se utilizan para construir objetos más grandes. Aclaraciones: Los materiales deben ser sustancias puras o mezclas microscópicas que parezcan contiguas a escalas observables; ejemplos de piezas podrían incluir bloques, ladrillos de construcción y otros objetos pequeños."
2;Ciencias Físicas;La materia y sus interacciones;2.PS.1.4;"Argumente con evidencia que algunos cambios en los materiales causados por el calentamiento o el enfriamiento son reversibles y otros no. Aclaraciones: Ejemplos de cambios reversibles incluyen materiales como el agua y la mantequilla a diferentes temperaturas; ejemplos de cambios irreversibles incluyen cocinar un huevo, congelar una hoja de planta y quemar papel."
2;Ciencias Físicas;Energía;2.PS.3.1;Diseñar y realizar un experimento para demostrar los efectos de la fricción en la temperatura y velocidad relativas de objetos que rozan entre sí. Aclaraciones: Algunos ejemplos podrían incluir un objeto deslizándose sobre superficies rugosas o lisas. Las observaciones de temperatura y velocidad deben ser cualitativas.
2;Tecnología/Ingeniería;Diseño de ingeniería;2.ETS.1.3;"Analizar datos de pruebas de dos objetos diseñados para resolver el mismo problema de diseño para comparar las fortalezas y debilidades del desempeño de cada objeto.* Aclaraciones: Los datos pueden incluir observaciones y ser cualitativos o cuantitativos; los ejemplos pueden incluir cómo diferentes objetos aíslan el agua fría o cómo funcionan diferentes tipos de bolsas de supermercado."
3;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;3.ESS.2.1;Utilice gráficos y tablas de datos meteorológicos locales para describir y predecir el clima típico durante una estación específica en una zona. Aclaraciones: Algunos ejemplos de datos meteorológicos podrían incluir la temperatura, la cantidad y el tipo de precipitación (p. ej., lluvia, nieve), la dirección y la velocidad del viento. Las representaciones gráficas deben centrarse en pictogramas y gráficos de barras.
3;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;3.ESS.2.2;"Obtener y resumir información sobre el clima de diferentes regiones del mundo para ilustrar que las condiciones climáticas típicas durante un año varían según la región. Declaración aclaratoria: Los ejemplos de información pueden incluir datos climáticos (temperatura promedio, precipitación promedio, velocidad promedio del viento) o descripciones comparativas del clima estacional para diferentes regiones; Límite de evaluación estatal: No se espera una comprensión del cambio climático en la evaluación estatal."
3;Ciencias de la Tierra y del Espacio;La Tierra y la actividad humana;3.ESS.3.1;Evaluar el mérito de una solución de diseño que reduzca el daño causado por el clima.* Declaración aclaratoria: Ejemplos de soluciones de diseño para reducir el daño relacionado con el clima podrían incluir una barrera para prevenir inundaciones, un techo resistente al viento y un pararrayos.
3;Ciencias de la vida;De las moléculas a los organismos: estructuras y procesos;3.LS.1.1;"Utilice representaciones gráficas simples para mostrar que los diferentes tipos de organismos tienen ciclos de vida únicos y diversos. Describa que todos los organismos tienen en común nacimiento, crecimiento, reproducción y muerte, pero que hay una variedad de formas en que esto sucede. Aclaraciones: Los ejemplos pueden incluir diferentes formas en que las plantas y los animales comienzan (p. ej., brotan de una semilla, nacen de un huevo), crecen (p. ej., aumentan de tamaño y peso, producen una nueva parte), se reproducen (p. ej., desarrollan semillas, estolones de raíz, se aparean y ponen huevos que eclosionan) y mueren (p. ej., duración de la vida); Los ciclos de vida de las plantas deben centrarse en los de las plantas con flores; La descripción de la variación en los ciclos de vida de los organismos debe centrarse en las comparaciones de las etapas generales de cada uno, no en los detalles. Límite de evaluación del estado: No se esperan en la evaluación del estado descripciones detalladas del ciclo de ningún organismo, las diferencias entre la ""metamorfosis completa"" y la ""metamorfosis incompleta"" ni detalles de la reproducción humana."
3;Ciencias de la vida;Herencia: herencia y variación de rasgos;3.LS.3.1;Proporcionar evidencia, incluyendo el análisis de datos, de que las plantas y los animales poseen rasgos heredados de sus progenitores y de que estos rasgos varían en un grupo de organismos similares. Aclaraciones: Ejemplos de rasgos heredados que varían incluyen el color del pelaje, la forma de las hojas, la longitud de las patas y el tamaño de las flores. El enfoque debe centrarse en ejemplos no humanos. Límite de la evaluación estatal: No se prevén mecanismos genéticos de herencia ni predicción de rasgos en la evaluación estatal.
3;Ciencias de la vida;Herencia: herencia y variación de rasgos;3.LS.3.2;Distinga entre características heredadas y aquellas que resultan de una interacción directa con el entorno. Dé ejemplos de características de organismos vivos que se ven influenciadas tanto por la herencia como por el entorno. Aclaraciones: Ejemplos de cómo el entorno afecta una característica incluyen plantas normalmente altas que se atrofian por falta de agua o luz, una lagartija a la que le falta la cola debido a un depredador y un perro con sobrepeso por comer demasiado y hacer poco ejercicio. Concéntrese en ejemplos no humanos.
3;Ciencias de la vida;Evolución biológica: unidad y diversidad;3.LS.4.1;Utilizar fósiles para describir los tipos de organismos y sus entornos que existieron hace mucho tiempo y compararlos con los organismos vivos y sus entornos. Reconocer que la mayoría de las especies de plantas y animales que alguna vez vivieron en la Tierra ya no se encuentran en ningún otro lugar. Aclaración: Las comparaciones deben centrarse en características físicas u observables. Límite de evaluación del estado: No se espera la identificación de fósiles específicos ni de plantas y animales actuales, procesos dinámicos ni genética en la evaluación del estado.
3;Ciencias de la vida;Evolución biológica: unidad y diversidad;3.LS.4.2;Utilice evidencia para construir una explicación de cómo las variaciones en las características entre individuos de la misma especie pueden brindarles ventajas para su supervivencia y reproducción. Aclaraciones: Algunos ejemplos incluyen rosales de la misma especie, uno con espinas ligeramente más largas que el otro, lo que puede evitar su depredación por ciervos, y la variación de color dentro de una especie puede brindar ventajas para que un organismo tenga mayor probabilidad de sobrevivir y, por lo tanto, mayor probabilidad de tener descendencia. Ejemplos de evidencia podrían incluir las necesidades y características de los organismos y hábitats involucrados.
3;Ciencias de la vida;Evolución biológica: unidad y diversidad;3.LS.4.3;Construya un argumento con evidencia de que, en un entorno particular, algunos organismos pueden sobrevivir bien, otros con peores condiciones y otros no. Aclaración: Ejemplos de evidencia podrían incluir las necesidades y características de los diferentes organismos (especies) y hábitats involucrados.
3;Ciencias de la vida;Evolución biológica: unidad y diversidad;3.LS.4.4;Analizar e interpretar datos sobre cambios en un hábitat y describir cómo estos cambios pueden afectar la capacidad de los organismos que viven en él para sobrevivir y reproducirse. Aclaraciones: Los cambios deben incluir cambios en la topografía, la distribución del agua, el clima y la disponibilidad de recursos. Los cambios en el hábitat pueden variar desde una estación hasta una década. Si bien se entiende que los cambios ecológicos son complejos, el enfoque debe centrarse en un solo cambio en el hábitat.
3;Ciencias de la vida;Evolución biológica: unidad y diversidad;3.LS.4.5;Proporcione evidencia que respalde la afirmación de que la supervivencia de una población depende de la reproducción. Límite de evaluación estatal: No se esperan detalles sobre la reproducción en la evaluación estatal.
3;Ciencias Físicas;Movimiento y estabilidad: fuerzas e interacciones;3.PS.2.1;"Proporcione evidencia para explicar el efecto de múltiples fuerzas, incluida la fricción, sobre un objeto. Incluya fuerzas equilibradas que no alteren el movimiento del objeto y fuerzas desequilibradas que sí lo alteren. Aclaraciones: Las descripciones de la magnitud de la fuerza deben ser cualitativas y relativas; la fuerza debida a la gravedad es apropiada, pero solo como fuerza que jala objetos hacia abajo. Límites de la evaluación estatal: No se espera la magnitud cuantitativa de la fuerza en la evaluación estatal; la evaluación estatal se limitará a una variable a la vez: número, magnitud o dirección de las fuerzas."
3;Ciencias Físicas;Movimiento y estabilidad: fuerzas e interacciones;3.PS.2.3;Realice una investigación para determinar la naturaleza de las fuerzas entre dos imanes en función de sus orientaciones y distancias. Aclaración: El enfoque debe centrarse en las fuerzas producidas por objetos magnéticos fáciles de manipular.
3;Ciencias Físicas;Movimiento y estabilidad: fuerzas e interacciones;3.PS.2.4;Defina un problema de diseño simple que pueda resolverse mediante el uso de interacciones entre imanes.* Declaración aclaratoria: Algunos ejemplos de problemas podrían incluir la construcción de un pestillo para mantener una puerta cerrada y la creación de un dispositivo para evitar que dos objetos en movimiento se toquen entre sí.
3;Tecnología/Ingeniería;Diseño de ingeniería;3.ETS.1.1;Defina un problema de diseño simple que refleje una necesidad o un deseo. Incluya criterios de éxito y limitaciones de materiales, tiempo o costo que debe cumplir una posible solución.*
3;Tecnología/Ingeniería;Diseño de ingeniería;3.ETS.1.2;Genere varias soluciones posibles para un problema de diseño dado. Compare cada solución según su probabilidad de cumplir con los criterios y restricciones del problema.* Aclaración: Ejemplos de problemas de diseño incluyen adaptar un interruptor en un juguete para niños con discapacidades de coordinación motora, diseñar una manera de limpiar o recoger escombros o basura de un desagüe pluvial, o crear juegos infantiles móviles seguros para un nuevo juego de recreo.
3;Tecnología/Ingeniería;Diseño de ingeniería;3.ETS.1.4;Recopilar información utilizando diversos recursos informativos sobre posibles soluciones a un problema de diseño. Presentar diferentes representaciones de una solución de diseño.* Aclaraciones: Ejemplos de recursos informativos pueden incluir libros, videos y sitios web. Ejemplos de representaciones pueden incluir organizadores gráficos, bocetos, modelos y prototipos. [3-5-ETS1-3 y 3-5-ETS1-5(MA) se encuentran en 4.º grado]
4;Ciencias de la Tierra y del Espacio;El lugar de la Tierra en el universo;4.ESS.1.1;"Utilice evidencia de un paisaje dado que incluya accidentes geográficos simples y capas de roca para respaldar una afirmación sobre el papel de la erosión o la deposición en la formación del paisaje durante largos períodos de tiempo. Declaraciones aclaratorias: Los ejemplos de evidencia y afirmaciones podrían incluir capas de roca con fósiles de conchas sobre capas de roca con fósiles de plantas y sin conchas, lo que indica un cambio de deposición en tierra a deposición en agua con el tiempo; y un cañón con capas de roca en las paredes y un río en el fondo, lo que indica que un río erosionó la roca con el tiempo. Los ejemplos de accidentes geográficos simples pueden incluir valles, colinas, montañas, llanuras y cañones. El enfoque debe estar en el tiempo relativo. Límite de evaluación estatal: No se esperan detalles específicos de los mecanismos de formación de rocas o formaciones rocosas y capas específicas en la evaluación estatal."
4;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;4.ESS.2.1;Realizar observaciones y recopilar datos para demostrar que las rocas, los suelos y los sedimentos se fragmentan mediante la meteorización mecánica y se desplazan por la erosión. Aclaraciones: Los procesos de meteorización mecánica pueden incluir el acuñamiento por heladas, la abrasión y el acuñamiento de las raíces de los árboles. La erosión puede incluir el movimiento por el viento, las corrientes de agua y el hielo en movimiento. Límite de la evaluación estatal: No se prevén procesos químicos en la evaluación estatal.
4;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;4.ESS.2.2;Analizar e interpretar mapas de las cadenas montañosas de la Tierra, fosas oceánicas profundas, volcanes y epicentros de terremotos para describir patrones de estas características y sus ubicaciones en relación con los límites entre continentes y océanos.
4;Ciencias de la Tierra y del Espacio;La Tierra y la actividad humana;4.ESS.3.1;Obtener información para describir que la energía y los combustibles que utilizamos los seres humanos provienen de recursos naturales y que algunas fuentes de energía y combustibles son renovables y otras no. Aclaraciones: Ejemplos de recursos energéticos renovables incluyen la energía eólica, el agua de las presas, las mareas y la luz solar. Los recursos energéticos no renovables son los combustibles fósiles y los materiales nucleares.
4;Ciencias de la Tierra y del Espacio;La Tierra y la actividad humana;4.ESS.3.2;Evaluar diferentes soluciones para reducir los impactos de un evento natural como un terremoto, una tormenta de nieve o una inundación en los seres humanos.* Declaración aclaratoria: Los ejemplos de soluciones podrían incluir un edificio resistente a los terremotos o un humedal construido para mitigar las inundaciones.
4;Ciencias de la vida;De las moléculas a los organismos: estructuras y procesos;4.LS.1.1;Argumente que los animales y las plantas poseen estructuras internas y externas que sustentan su supervivencia, crecimiento, comportamiento y reproducción. Aclaraciones: Las estructuras animales pueden incluir patas, alas, aletas, plumas, troncos, garras, cuernos, antenas, ojos, orejas, nariz, corazón, estómago, pulmones, cerebro y piel. Las estructuras vegetales pueden incluir hojas, raíces, tallos, corteza, ramas, flores, frutos y semillas. Límite de evaluación estatal: La evaluación estatal se limitará a las estructuras macroscópicas.
4;Ciencias Físicas;Energía;4.PS.3.1;Utilice evidencia para construir una explicación que relacione la velocidad de un objeto con su energía. Límites de la evaluación estatal: La evaluación estatal se limitará al análisis de la energía cinética. No se espera que se consideren la masa, las medidas cuantitativas de los cambios en la velocidad de un objeto ni ninguna definición precisa o cuantitativa de energía en la evaluación estatal.
4;Ciencias Físicas;Energía;4.PS.3.2;Realizar observaciones para demostrar que la energía se puede transferir de un lugar a otro mediante el sonido, la luz, el calor y las corrientes eléctricas. Aclaración: La transferencia de energía puede demostrarse mediante vibraciones percibidas a poca distancia de una fuente, un juguete solar que se mueve al exponerse a la luz directa, calentar un objeto metálico por un extremo y observar cómo se calienta el otro, y un cable que transporta energía eléctrica desde una batería para encender una bombilla. Límite de la evaluación estatal: No se esperan mediciones cuantitativas de energía en la evaluación estatal.
