"dia","grado","asignatura","area","codigo","descricao"
109,"K","Bíblia","Alfabetização Bíblica","K.BL.1.e","Posso memorizar os versículos bíblicos principais (Gênesis 1:1, Salmos 23:1, Romanos 3:23)."
110,"K","Bíblia","Alfabetização Bíblica","K.BL.1.e","Posso memorizar os versículos bíblicos principais (Gênesis 1:1, Salmos 23:1, Romanos 3:23)."
111,"K","Bíblia","Discernimento Espiritual","K.SD.2.a","Posso explicar que Deus está sempre comigo mesmo quando as coisas são difíceis ou coisas ruins acontecem (ex. José)."
112,"K","Bíblia","Discernimento Espiritual","K.SD.2.a","Posso explicar que Deus está sempre comigo mesmo quando as coisas são difíceis ou coisas ruins acontecem (ex. José)."
113,"K","Bíblia","Discernimento Espiritual","K.SD.2.b","Posso demonstrar como cantar louvores a Deus é uma maneira de adorá-Lo (ex. Ação de Graças)."
114,"K","Bíblia","Discernimento Espiritual","K.SD.2.b","Posso demonstrar como cantar louvores a Deus é uma maneira de adorá-Lo (ex. Ação de Graças)."
115,"K","Bíblia","Discernimento Espiritual","K.SD.2.c","Posso descrever as maneiras como Deus me tornou especial (ex. Jesus e as crianças)."
116,"K","Bíblia","Discernimento Espiritual","K.SD.2.c","Posso descrever as maneiras como Deus me tornou especial (ex. Jesus e as crianças)."
117,"K","Bíblia","Cosmovisão Bíblica","K.BW.3.a","Sei que a Bíblia é a Palavra de Deus (ex. João e Jesus cumprem a profecia)."
118,"K","Bíblia","Cosmovisão Bíblica","K.BW.3.a","Sei que a Bíblia é a Palavra de Deus (ex. João e Jesus cumprem a profecia)."
119,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.a","Posso dar exemplos de como mostrar respeito aos outros."
120,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.a","Posso dar exemplos de como mostrar respeito aos outros."
121,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.b","Posso nomear maneiras de obedecer à autoridade em casa e na escola."
122,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.b","Posso nomear maneiras de obedecer à autoridade em casa e na escola."
123,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.c","Posso dar exemplos de maneiras pelas quais mostro bondade aos outros."
124,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.c","Posso dar exemplos de maneiras pelas quais mostro bondade aos outros."
125,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.d","Posso dar exemplos de maneiras de mostrar compaixão por pessoas pobres ou necessitadas."
126,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.d","Posso dar exemplos de maneiras de mostrar compaixão por pessoas pobres ou necessitadas."
127,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
128,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
129,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
130,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
131,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
132,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
133,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
134,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
135,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
136,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
137,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
138,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
139,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
140,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
141,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.i","Posso recontar a história do nascimento de Jesus usando palavras, objetos ou figuras."
142,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.i","Posso recontar a história do nascimento de Jesus usando palavras, objetos ou figuras."
143,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.ii","Posso recontar a história da morte e ressurreição de Jesus usando palavras, objetos ou figuras."
144,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.ii","Posso recontar a história da morte e ressurreição de Jesus usando palavras, objetos ou figuras."
145,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.i","Posso ilustrar a ideia principal da parábola do Bom Samaritano."
146,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.i","Posso ilustrar a ideia principal da parábola do Bom Samaritano."
147,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.ii","Posso ilustrar a ideia principal da parábola da Ovelha Perdida."
148,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.ii","Posso ilustrar a ideia principal da parábola da Ovelha Perdida."
149,"K","Bíblia","Alfabetização Bíblica","K.BL.1.e","Posso memorizar os versículos bíblicos principais (Gênesis 1:1, Salmos 23:1, Romanos 3:23)."
150,"K","Bíblia","Alfabetização Bíblica","K.BL.1.e","Posso memorizar os versículos bíblicos principais (Gênesis 1:1, Salmos 23:1, Romanos 3:23)."
151,"K","Bíblia","Discernimento Espiritual","K.SD.2.a","Posso explicar que Deus está sempre comigo mesmo quando as coisas são difíceis ou coisas ruins acontecem (ex. José)."
152,"K","Bíblia","Discernimento Espiritual","K.SD.2.a","Posso explicar que Deus está sempre comigo mesmo quando as coisas são difíceis ou coisas ruins acontecem (ex. José)."
153,"K","Bíblia","Discernimento Espiritual","K.SD.2.b","Posso demonstrar como cantar louvores a Deus é uma maneira de adorá-Lo (ex. Ação de Graças)."
154,"K","Bíblia","Discernimento Espiritual","K.SD.2.b","Posso demonstrar como cantar louvores a Deus é uma maneira de adorá-Lo (ex. Ação de Graças)."
155,"K","Bíblia","Discernimento Espiritual","K.SD.2.c","Posso descrever as maneiras como Deus me tornou especial (ex. Jesus e as crianças)."
156,"K","Bíblia","Discernimento Espiritual","K.SD.2.c","Posso descrever as maneiras como Deus me tornou especial (ex. Jesus e as crianças)."
157,"K","Bíblia","Cosmovisão Bíblica","K.BW.3.a","Sei que a Bíblia é a Palavra de Deus (ex. João e Jesus cumprem a profecia)."
158,"K","Bíblia","Cosmovisão Bíblica","K.BW.3.a","Sei que a Bíblia é a Palavra de Deus (ex. João e Jesus cumprem a profecia)."
159,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.a","Posso dar exemplos de como mostrar respeito aos outros."
160,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.a","Posso dar exemplos de como mostrar respeito aos outros."
161,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.b","Posso nomear maneiras de obedecer à autoridade em casa e na escola."
162,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.b","Posso nomear maneiras de obedecer à autoridade em casa e na escola."
163,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.c","Posso dar exemplos de maneiras pelas quais mostro bondade aos outros."
164,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.c","Posso dar exemplos de maneiras pelas quais mostro bondade aos outros."
165,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.d","Posso dar exemplos de maneiras de mostrar compaixão por pessoas pobres ou necessitadas."
166,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.d","Posso dar exemplos de maneiras de mostrar compaixão por pessoas pobres ou necessitadas."
167,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
168,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
169,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
170,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
171,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
172,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
173,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
174,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
175,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
176,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
177,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
178,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
179,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
180,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
1,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.a.i","Posso resumir a história da Criação, Adão e Eva, e a Queda."
2,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.a.i","Posso resumir a história da Criação, Adão e Eva, e a Queda."
3,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.a.i","Posso resumir a história da Criação, Adão e Eva, e a Queda."
4,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.a.ii","Posso resumir a história de Noé."
5,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.a.ii","Posso resumir a história de Noé."
6,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.a.iii","Posso resumir a história de Josué e Calebe."
7,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.a.iii","Posso resumir a história de Josué e Calebe."
8,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.a.iv","Posso resumir a história de Rute e Noemi."
9,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.a.iv","Posso resumir a história de Rute e Noemi."
10,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.b","Posso explicar como os Dez Mandamentos se aplicam a mim hoje."
11,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.b","Posso explicar como os Dez Mandamentos se aplicam a mim hoje."
12,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.c","Posso sequenciar os eventos da vida de José."
13,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.c","Posso sequenciar os eventos da vida de José."
14,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.c","Posso sequenciar os eventos da vida de José."
15,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.d","Posso recontar a história do nascimento de Jesus e descrever como Ele era quando menino."
16,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.d","Posso recontar a história do nascimento de Jesus e descrever como Ele era quando menino."
17,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.d","Posso recontar a história do nascimento de Jesus e descrever como Ele era quando menino."
18,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.e","Posso identificar pessoas como Pedro, Estêvão, Filipe e Paulo, e as maneiras como ajudaram a edificar a igreja primitiva."
19,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.e","Posso identificar pessoas como Pedro, Estêvão, Filipe e Paulo, e as maneiras como ajudaram a edificar a igreja primitiva."
20,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.e","Posso identificar pessoas como Pedro, Estêvão, Filipe e Paulo, e as maneiras como ajudaram a edificar a igreja primitiva."
21,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.f","Posso memorizar os versículos bíblicos principais (Salmos 100:3, Salmos 119:9,11, João 3:16, Efésios 4:32) e explicar o que significam com minhas próprias palavras."
22,"1º","Bíblia","Alfabetização Bíblica","1.BL.1.f","Posso memorizar os versículos bíblicos principais (Salmos 100:3, Salmos 119:9,11, João 3:16, Efésios 4:32) e explicar o que significam com minhas próprias palavras."
23,"1º","Bíblia","Discernimento Espiritual","1.SD.2.a","Posso dar exemplos de confiar em Deus mesmo quando coisas difíceis acontecem."
24,"1º","Bíblia","Discernimento Espiritual","1.SD.2.a","Posso dar exemplos de confiar em Deus mesmo quando coisas difíceis acontecem."
25,"1º","Bíblia","Discernimento Espiritual","1.SD.2.b","Posso listar diferentes maneiras de adorar a Deus."
26,"1º","Bíblia","Discernimento Espiritual","1.SD.2.b","Posso listar diferentes maneiras de adorar a Deus."
27,"1º","Bíblia","Discernimento Espiritual","1.SD.2.c","Posso explicar como sou único e criado à imagem de Deus."
28,"1º","Bíblia","Discernimento Espiritual","1.SD.2.c","Posso explicar como sou único e criado à imagem de Deus."
29,"1º","Bíblia","Discernimento Espiritual","1.SD.2.d","Posso explicar que Jesus morreu pela minha salvação."
