Grado;Área;Tema;Código;Descripción
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.03;Demostrar comprensión de que un líder también es miembro de un grupo, pero asume un rol diferente con mayor responsabilidad: inspirar a otros, organizar y delegar actividades, y ayudar al grupo a tomar decisiones. Por ejemplo, los estudiantes que trabajan en un proyecto en un grupo pequeño asumen los roles de líder, registrador o reportero, ilustrador o cronometrador.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.04;Analizar ejemplos de liderazgo y líderes de la historia, de la vida cotidiana y de la literatura y textos informativos leídos o en voz alta, y describir las cualidades de un buen líder.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.05;Dé ejemplos de por qué los miembros de un grupo con diferentes puntos de vista necesitan maneras de tomar decisiones y explique cómo pueden tomar decisiones justas o elegir líderes mediante votación. Por ejemplo, los estudiantes adquieren experiencia práctica en el concepto de democracia al debatir y votar sobre las responsabilidades de los líderes de clase, y luego votar para elegir a los líderes de clase del día o la semana.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.06;Explique que una elección es un tipo de votación en la que las personas eligen líderes. Por ejemplo, los estudiantes relacionan su análisis de las cualidades de liderazgo con la idea de las elecciones, enumerando las cualidades que buscarían en un candidato.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.07;Identifique algunos líderes que son elegidos mediante elecciones (por ejemplo, el presidente de los Estados Unidos, el gobernador de Massachusetts, el capitán de un equipo de fútbol) y explique sus funciones.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.08;"Demostrar comprensión de que los miembros de un pueblo, ciudad o nación en los Estados Unidos se llaman ciudadanos, y que sus derechos y responsabilidades incluyen elegir líderes que cumplan períodos fijos; prestar atención a las acciones del líder y decidir si reelegirlos o no en función de lo bien que hayan servido a los ciudadanos."
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.09;Explique que todas las personas nacidas en Estados Unidos son ciudadanas, mientras que algunas adquieren la ciudadanía al mudarse a Estados Unidos desde otro país. Comprenda que algunos residentes de Estados Unidos no son ciudadanos, pero siguen siendo miembros de la comunidad con derechos y responsabilidades.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.10;Evaluar las cualidades de un buen ciudadano o miembro de la comunidad, basándose en ejemplos de la historia, la literatura, textos informativos, informes de noticias y experiencias personales.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 2: Geografía: lugares para explorar;HSS.1.T2.01;¿Cómo pueden los mapas ayudar a las personas a localizar lugares y aprender sobre ellos? Explique que un mapa representa espacios y ayuda a identificar ubicaciones y características.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 2: Geografía: lugares para explorar;HSS.1.T2.02;"Identificar y utilizar el lenguaje de los puntos cardinales (norte, este, sur, oeste) al localizar y describir lugares en un mapa; utilizar un mapa para identificar la ubicación de las principales ciudades y capitales (por ejemplo, Boston, Massachusetts, Washington DC, Ciudad de México, México) e investigar los factores que explican por qué estas ubicaciones se convirtieron en ciudades importantes."
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 2: Geografía: lugares para explorar;HSS.1.T2.03;Explique que una ciudad que se llama capital es el centro de gobierno de un estado o nación.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 2: Geografía: lugares para explorar;HSS.1.T2.04;Localizar y explicar características físicas (por ejemplo, continentes, océanos, ríos, lagos, montañas) en mapas y construir mapas y otras representaciones de lugares locales.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 2: Geografía: lugares para explorar;HSS.1.T2.05;Demostrar comprensión de que las personas de diferentes partes del mundo pueden tener diferentes formas de vida, costumbres e idiomas.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 3: Historia: unidad y diversidad en Estados Unidos;HSS.1.T3.01;Proporcionar evidencia para explicar algunas de las maneras en que los habitantes de Estados Unidos están unidos (p. ej., comparten una historia nacional común) y son diversos (p. ej., tienen diferentes orígenes, creencias y celebraciones, tradiciones culturales y estructuras familiares diferentes). Los estudiantes deben aprender sobre las familias de los demás y los tipos de familias que pueden ser diferentes a las suyas (p. ej., monoparentales, ensambladas, encabezadas por abuelos, de acogida, LGBT, multirraciales). Deben comenzar a comprender la diversidad de los habitantes de Estados Unidos y, al mismo tiempo, cómo personas de diferentes orígenes pueden compartir valores comunes como la cortesía, la valentía, la honestidad, el respeto y la confiabilidad. Los estudiantes deben ser capaces de realizar investigaciones sobre la unidad y la diversidad leyendo o consultando libros ilustrados sobre familias de diversos orígenes o entrevistando a amigos, familiares, vecinos o personal escolar, y luego informando sobre sus hallazgos sobre la contribución de personas de diversos orígenes a la nación, la Commonwealth o la comunidad local.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 3: Historia: unidad y diversidad en Estados Unidos;HSS.1.T3.02;"Demostrar comprensión de las formas en que las personas muestran orgullo por pertenecer a los Estados Unidos al reconocer y explicar el significado de símbolos, frases y canciones unificadoras: a. símbolos nacionales (p. ej., la bandera de los Estados Unidos, el águila calva, la Casa Blanca y la Estatua de la Libertad) b. palabras, lemas, frases y oraciones asociadas con los Estados Unidos (p. ej., ""USA"" o ""America"" que significa Estados Unidos de América, el lema en latín, ""e pluribus unum"", en monedas, billetes y el sello de los Estados Unidos, traducido como ""De muchos, uno"", y el ""Juramento a la bandera"") c. las melodías y letras de canciones patrióticas (p. ej., ""America the Beautiful"", ""My Country"", ""Tis of Thee"", ""God Bless America"" y ""The Star-Spangled Banner"")"
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 3: Historia: unidad y diversidad en Estados Unidos;HSS.1.T3.03;"Reconocer y documentar patrones secuenciales en eventos estacionales o experiencias personales, utilizando un calendario y palabras y frases relacionadas con la cronología y el tiempo (por ejemplo, en pasado o futuro; tiempos verbales presente, pasado y futuro)."
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 4: Economía: recursos y opciones (compartido con 2.º grado);HSS.1.T4.01;Explicar la relación entre los recursos naturales y las industrias y empleos en un lugar determinado (por ejemplo, pesca, construcción naval, agricultura, comercio, minería, explotación forestal, manufactura).
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 4: Economía: recursos y opciones (compartido con 2.º grado);HSS.1.T4.02;Distinguir un recurso renovable de un recurso no renovable.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 4: Economía: recursos y opciones (compartido con 2.º grado);HSS.1.T4.03;Explique que las personas también son un recurso y que el conocimiento y las habilidades que adquieren a través de la escuela, la universidad y el trabajo posibilitan innovaciones y avances tecnológicos que conducen a una proporción cada vez mayor de bienes y servicios.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 4: Economía: recursos y opciones (compartido con 2.º grado);HSS.1.T4.04;Ganar ingresos: Explique qué significa estar empleado y defina los términos ingreso, salario y sueldo.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 4: Economía: recursos y opciones (compartido con 2.º grado);HSS.1.T4.05;Compra de bienes y servicios: Dé ejemplos de productos (bienes) que la gente compra y usa.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 4: Economía: recursos y opciones (compartido con 2.º grado);HSS.1.T4.06;Dé ejemplos de servicios que las personas se prestan entre sí.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 4: Economía: recursos y opciones (compartido con 2.º grado);HSS.1.T4.07;"Dé ejemplos de elecciones que las personas deben hacer acerca de comprar bienes y servicios (por ejemplo, comida para la familia o un videojuego; el pasaje de autobús para ir al trabajo o una entrada de cine para entretenimiento) y por qué tienen que tomar decisiones (por ejemplo, porque sólo tienen suficiente dinero para una compra, no dos)."
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 4: Economía: recursos y opciones (compartido con 2.º grado);HSS.1.T4.08;Analice ejemplos de elecciones voluntarias que las personas realizan al comprar bienes y servicios (por ejemplo, comprar en una empresa que apoya a sus trabajadores o protege el medio ambiente).
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 4: Economía: recursos y opciones (compartido con 2.º grado);HSS.1.T4.09;Ahorro: Compare y contraste las razones por las que las personas ahorran parte de su dinero (por ejemplo, deciden reservar una parte para una compra futura, para una donación caritativa o para una emergencia).
2; Geografía global;Tema 1: Lectura y elaboración de mapas;HSS.2.T1.01;Explique los tipos de información que proporcionan los componentes de un mapa (por ejemplo, rosa de los vientos/direcciones cardinales, escala, clave/leyenda, título) y dé ejemplos de cómo los mapas pueden mostrar las relaciones entre los seres humanos y el medio ambiente (por ejemplo, viajes, carreteras, recursos naturales, agricultura, minería).
2; Geografía global;Tema 1: Lectura y elaboración de mapas;HSS.2.T1.02;Compare diferentes tipos de proyecciones de mapas (por ejemplo, Mercator, Peters) y explique cómo representan el mundo de manera diferente.
2; Geografía global;Tema 1: Lectura y elaboración de mapas;HSS.2.T1.03;Construya un mapa de un lugar familiar (por ejemplo, la escuela, el vecindario, un parque)
2; Geografía global;Tema 2: La geografía y sus efectos en las personas;HSS.2.T2.01;En un mapa del mundo y en un globo terráqueo, localice todos los continentes y algunas características físicas principales de cada continente (por ejemplo, lagos, mares, bahías, ríos y afluentes, montañas y cordilleras, y penínsulas, desiertos, llanuras).
2; Geografía global;Tema 2: La geografía y sus efectos en las personas;HSS.2.T2.02;En un mapa del mundo y en un globo terráqueo, localice los océanos del mundo y explique la importancia de los océanos y cómo hacen que el mundo sea habitable.
2; Geografía global;Tema 2: La geografía y sus efectos en las personas;HSS.2.T2.03;Explique cómo la ubicación de las formas del terreno y los cuerpos de agua ayuda a determinar las condiciones (es decir, el clima, el tiempo, la vegetación) para la vida habitable.
2; Geografía global;Tema 2: La geografía y sus efectos en las personas;HSS.2.T2.04;Explicar y describir la interacción humana con el mundo físico (el medio ambiente).
2; Geografía global;Tema 3: Historia: migraciones y culturas;HSS.2.T3.01;Investigar las razones por las cuales las personas migran (se mudan) a diferentes lugares alrededor del mundo, reconociendo que algunas migraciones son voluntarias y otras forzadas (por ejemplo, refugiados, personas expulsadas de sus países de origen, personas esclavizadas).
2; Geografía global;Tema 3: Historia: migraciones y culturas;HSS.2.T3.02;"Dé ejemplos de por qué se dice que Estados Unidos es una ""nación de inmigrantes""."
2; Geografía global;Tema 3: Historia: migraciones y culturas;HSS.2.T3.03;Realice entrevistas con familiares, vecinos, amigos o personal escolar para descubrir de dónde provienen sus familias, cómo y por qué se mudaron a donde viven ahora y cuándo y por qué sus familias llegaron a Massachusetts.
2; Geografía global;Tema 3: Historia: migraciones y culturas;HSS.2.T3.04;"Identificar lo que los individuos y las familias traen consigo (por ejemplo, recuerdos, rasgos culturales, bienes, ideas e idiomas o formas de hablar) cuando se mudan a un lugar diferente e identificar los impactos significativos de la migración; identificar elementos que definen la cultura de una sociedad (por ejemplo, idioma, literatura, artes, religión, tradiciones, costumbres); explicar cómo la comunidad se enriquece con las contribuciones de todas las personas que la forman hoy. Declaración aclaratoria: Los estudiantes deben poder dar ejemplos de tradiciones o costumbres de otros países que se practican en los Estados Unidos hoy en día, con un enfoque en las culturas representadas en la clase y lo que esas culturas han contribuido a la sociedad estadounidense; describir comidas tradicionales, costumbres, juegos y música del lugar de donde ellos, su familia o sus antepasados vinieron."
2; Geografía global;Tema 4: La educación cívica en el contexto de la geografía: países y gobiernos;HSS.2.T4.01;Reconocer la diferencia entre geografía física y geografía política. Por ejemplo, los estudiantes aprenden que África es un continente (geografía física) que incluye varios países independientes (p. ej., Egipto, Somalia, Nigeria).
2; Geografía global;Tema 4: La educación cívica en el contexto de la geografía: países y gobiernos;HSS.2.T4.02;Explicar las características de un país.
2; Geografía global;Tema 4: La educación cívica en el contexto de la geografía: países y gobiernos;HSS.2.T4.03;Localizar y analizar información y presentar un breve informe de investigación sobre las características físicas, los recursos y la gente de un país fuera de los Estados Unidos.
2; Geografía global;Tema 5a: Recursos;HSS.2.T5a.01;Explicar la relación entre los recursos naturales y las industrias y empleos en un lugar determinado (por ejemplo, pesca, construcción naval, agricultura, comercio, minería, explotación forestal, manufactura).
2; Geografía global;Tema 5a: Recursos;HSS.2.T5a.02;Distinguir un recurso renovable de un recurso no renovable.
2; Geografía global;Tema 5a: Recursos;HSS.2.T5a.03;Explique que las personas también son un recurso y que el conocimiento y las habilidades que adquieren a través de la escuela, la universidad y el trabajo posibilitan innovaciones y avances tecnológicos que conducen a una proporción cada vez mayor de bienes y servicios.
2; Geografía global;Tema 5b: Ganar ingresos;HSS.2.T5b.01;Explicar qué significa estar empleado y definir los términos ingreso, salario y sueldo.
2; Geografía global;Tema 5c: Compra de bienes y servicios:;HSS.2.T5c.01;Dé ejemplos de productos (bienes) que la gente compra y usa.
2; Geografía global;Tema 5c: Compra de bienes y servicios:;HSS.2.T5c.02;Dé ejemplos de servicios que las personas se prestan entre sí.
2; Geografía global;Tema 5c: Compra de bienes y servicios:;HSS.2.T5c.03;"Dé ejemplos de elecciones que las personas deben hacer acerca de comprar bienes y servicios (por ejemplo, comida para la familia o un videojuego; el pasaje de autobús para ir al trabajo o una entrada de cine para entretenimiento) y por qué tienen que tomar decisiones (por ejemplo, porque sólo tienen suficiente dinero para una compra, no dos)."
2; Geografía global;Tema 5c: Compra de bienes y servicios:;HSS.2.T5c.04;Analice ejemplos de elecciones voluntarias que las personas realizan al comprar bienes y servicios (por ejemplo, comprar en una empresa que apoya a sus trabajadores o protege el medio ambiente).
2; Geografía global;Tema 5d: Ahorro;HSS.2.T5d.01;Compare y contraste las razones por las que las personas ahorran parte de su dinero (por ejemplo, deciden reservar una parte para una compra futura, para una donación caritativa o para una emergencia).
3; Massachusetts, hogar de muchas personas diferentes;Tema 1: Ciudades y pueblos de Massachusetts hoy y en la historia;HSS.3.T1.01;En un mapa actual de Massachusetts, use direcciones cardinales, escalas de mapas, leyendas y títulos para ubicar y describir la ciudad o pueblo donde se encuentra la escuela a la que asisten los estudiantes, sus características geográficas locales y lugares de interés histórico, y su importancia.
3; Massachusetts, hogar de muchas personas diferentes;Tema 1: Ciudades y pueblos de Massachusetts hoy y en la historia;HSS.3.T1.02;"Investigue los orígenes demográficos del pueblo o ciudad (p. ej., los pueblos indígenas que originalmente vivieron allí o aún viven allí, las personas que la establecieron como ciudad colonial, su fecha de fundación y las mujeres y los hombres libres, contratados y esclavizados que contribuyeron al bienestar del pueblo). Explique que antes de mediados del siglo XIX, la mayoría de los colonos eran de ascendencia nativa americana, norteeuropea o africana; describa la población actual y los grupos de inmigrantes de los siglos XX y XXI, y entreviste a familiares, amigos y vecinos para obtener información sobre la vida y el trabajo allí en el pasado y en el presente."
3; Massachusetts, hogar de muchas personas diferentes;Tema 1: Ciudades y pueblos de Massachusetts hoy y en la historia;HSS.3.T1.03;Explique por qué las aulas, las escuelas, los pueblos y las ciudades tienen gobiernos, qué hacen los gobiernos, cómo se organizan los gobiernos locales en Massachusetts y cómo las personas participan y contribuyen a sus comunidades.
3; Massachusetts, hogar de muchas personas diferentes;Tema 2: La geografía y los pueblos indígenas de Massachusetts;HSS.3.T2.01;En un mapa físico de América del Norte, utilice direcciones cardinales, escalas de mapas, leyendas y títulos para ubicar la región Noreste e identificar características físicas importantes (por ejemplo, ríos, lagos, costas oceánicas, cabos y bahías, y cadenas montañosas).
3; Massachusetts, hogar de muchas personas diferentes;Tema 2: La geografía y los pueblos indígenas de Massachusetts;HSS.3.T2.02;En un mapa político de los Estados Unidos actuales, localice los estados de Nueva Inglaterra (Connecticut, Rhode Island, Massachusetts, Nuevo Hampshire, Vermont y Maine). Aclaración: Estos estándares están diseñados para ser una transición desde segundo grado, cuando los estudiantes aprendieron sobre los componentes del mapa y la diferencia entre geografía física y geografía política.
3; Massachusetts, hogar de muchas personas diferentes;Tema 2: La geografía y los pueblos indígenas de Massachusetts;HSS.3.T2.03;Explicar la diversidad de los pueblos nativos, presentes y pasados, en Massachusetts y la región de Nueva Inglaterra. a. los nombres de al menos tres grupos nativos (p. ej., Abenaki/Wabanaki, Massachusett, Mohican/Stockbridge, Narragansett, Nipmuc, Wampanoag) b. las ubicaciones de los territorios tribales en el estado. c. las características físicas y su influencia en las ubicaciones de los asentamientos tradicionales d. las contribuciones de un grupo tribal del área de la escuela (p. ej., idioma, literatura, artes, rutas comerciales, alimentos como maíz, frijoles y calabazas, artículos útiles como cestas, canoas, wampum y conocimiento útil de plantas medicinales, palabras como powwow y moccasin, y muchos nombres de vías fluviales, colinas, montañas, islas y nombres de lugares, como los ríos Connecticut y Merrimack, el monte Wachusett, la cordillera Taconic, Nantucket, Natick, Seekonk, Agawam, Chicopee)
3; Massachusetts, hogar de muchas personas diferentes;Tema 3: Los primeros contactos de los exploradores europeos con los pueblos indígenas del noreste;HSS.3.T3.01;Ubica América del Norte, el Océano Atlántico y Europa en un mapa, explica cómo los pueblos nativos entraron en contacto por primera vez con los europeos y explica por qué los europeos en los siglos XVI y XVII navegaron hacia el oeste a través del Atlántico (por ejemplo, para encontrar nuevas rutas comerciales hacia Asia y nuevos suministros de recursos naturales como metales, madera y pescado).
